,2586606.9592017964
160,275184.59384947334
320,273582.557921378
1,271786.8168965253
2,273325.3129365168
322,273850.8735556155
163,273241.2421078716
4,272703.4226326588
164,273310.2876710843
325,273487.7690778002
166,273118.611598233
326,274344.6206529035
7,272208.3606277913
8,272606.1858173847
328,273739.0312000075
169,275075.99745024263
10,272470.1609131899
170,273205.8310486805
331,273264.67144175206
172,273178.17275643075
332,273043.0853325933
13,274036.8722708847
14,272858.2381494533
334,273926.0802962964
175,273089.22208183527
16,273037.9032034887
176,274012.7093763353
337,272839.09031829215
178,274050.01878990536
338,273467.166054765
19,274152.72745241807
20,272349.5762119053
340,273890.5379839462
181,271978.7581498795
22,272940.0090887249
182,273437.27912145463
343,274355.66151682043
184,273244.38419612905
344,272123.8917361938
25,272293.2699511329
26,272471.2126808538
346,274051.4765060121
187,273474.84866110043
28,273528.38283201866
188,273321.8810861526
349,273464.2095351709
190,273466.5531376969
350,273967.0903724295
31,274156.08555715485
32,273189.5737885466
352,274071.3397574946
193,271933.28967944556
34,272901.25004653074
194,273361.0212247754
355,273224.3984947635
196,271866.3952773542
356,275696.78694419045
37,271891.0325436854
38,274658.478276419
358,273144.8592223303
199,272935.2975262896
40,274004.349728295
200,273712.68836569285
361,274077.9541827928
202,272932.58542119415
362,274692.4362097027
43,274006.39954426343
44,273801.36115101026
364,273272.50172982964
205,273362.7532399321
46,273556.78083245957
206,272490.78545993165
367,273546.2983124064
208,274290.925954584
368,274572.1231374152
49,272077.81356445013
50,273943.5151952405
370,274402.6306505134
211,272711.74088377383
52,273975.59457844467
212,273950.6009999525
373,272365.9057017833
214,273769.94406833913
374,272473.41046747466
55,273930.29474013764
56,274319.7607115272
376,272791.0562600567
217,274112.4919478427
58,272606.53330722643
218,273008.8462951803
379,273286.20960935793
220,273784.28904674936
380,273458.58923376945
61,274529.75877435383
62,273122.091408923
382,273809.8099470921
223,273895.9286333984
64,273811.2350669143
224,273236.33474317275
385,273249.0235868799
226,273890.90761480737
386,272988.96493029845
67,274695.3676404343
68,274413.90124939696
388,273356.5621337183
229,272331.40638224233
70,275022.26105701283
230,274094.2903916993
391,271783.34709083696
232,274207.981249599
392,272764.1140757871
73,273211.40212023247
74,273653.5499729358
394,273654.5827468778
235,273730.3940933774
76,272682.33511996927
236,273937.14086935844
397,273212.3390207367
238,272525.48424661526
398,271987.38406201487
79,274164.43775037216
80,273279.1138568704
400,272084.9993804
241,275489.98376706254
82,274367.0097913198
242,273030.2911251159
244,273827.2590134125
85,272696.8918983088
86,272224.7042850408
247,273358.7832223857
88,273720.1664876105
248,274781.9117898906
250,273808.82284774014
91,272745.9763389741
92,271218.5774503637
253,274019.93075516896
94,275142.0465752263
254,274475.01232472976
256,274368.53296275064
97,273734.1390708782
98,273525.111154779
259,271971.8056157095
100,274629.43440466915
260,273404.44872710586
262,273024.8830660511
103,273772.43568501243
104,274266.69741010416
265,274386.6320824934
106,272851.8726283977
266,273720.0499075686
268,274343.9387232805
109,273786.66295990505
110,271926.8540810715
271,273431.91697683756
112,272244.06168492936
272,272918.4321857412
274,274851.1161066425
115,272841.88086319447
116,274180.18242303556
277,273037.60853308794
118,272976.68197940674
278,274056.8593076576
280,274619.4794107185
121,273318.10176710505
122,272934.2222097879
283,273525.27205234725
124,272791.75989580073
284,273496.14029322535
286,272263.4866829472
127,272674.8120189739
128,273661.78334664914
289,272656.9078179527
130,272713.20564303524
290,273862.0640092715
292,274544.3258619889
133,272344.8071789954
134,274501.3581341864
295,273716.5432515367
136,272511.4727232478
296,272432.7464973252
298,273711.2393483234
139,273705.2333055056
140,273887.7000584154
301,272912.9801797918
142,273004.3975696335
302,273156.7994653428
304,273746.76986710075
145,273263.2296601575
146,273372.10340309766
307,274949.8318641996
148,274032.9994353654
308,273138.53710056754
310,271982.2523547782
151,273164.8763229219
152,273544.3430888508
313,272682.91539465886
154,273430.3263128707
314,272607.67329024465
316,273910.98747806094
157,273784.9566314806
158,273423.27283107187
319,272980.03550723137
