,10100528.087255137
16,4114882.303122503
32,4085887.3608511756
64,4199618.8152331915
80,4132730.1708831056
1,4103947.628521728
49,4082284.2257057023
97,4066348.3619003105
2,4169441.8215870145
34,4179282.74126458
50,4106003.799914482
82,4153425.9221429573
98,4121716.3576603113
19,4163683.162006766
67,4095967.894472302
4,4195428.084267485
20,4197476.924988948
52,4109406.5824144315
68,4186643.203059122
100,4157427.4323850125
37,4106375.520869948
85,4108176.21842925
22,4202766.108607039
38,4129474.6643696013
70,4149358.900399323
86,4088615.544143594
7,4185180.561935787
55,4110412.919195187
8,4195135.654560342
40,4104559.3184528463
56,4043165.9537368985
88,4090320.735450362
25,4184958.027578225
73,4200101.665347941
10,4238089.063555116
26,4131919.8266165364
58,4203554.481578066
74,4153438.2286258824
43,4118712.9887377196
91,4134469.17270143
28,4169738.164246125
44,4132220.5668155537
76,4145368.8710758667
92,4149278.9691731227
13,4156748.3858471736
61,4190239.852644177
14,4130038.5381570584
46,4149881.5629551904
62,4188646.432772458
94,4146982.6379716364
31,4057362.358141404
79,4158622.511352816
