,26346891.60657729
1,1115647.4327099074
2,1114865.4805224098
4,1112675.7085490888
7,1114324.1644326535
8,1111714.5621456536
10,1115184.7338999643
13,1119475.2594292862
14,1115226.3024586374
16,1116348.3948030863
19,1115527.6752009783
20,1119490.1942253918
22,1118149.7229772927
25,1113176.6557695956
26,1108781.5380948936
28,1115487.4520674904
31,1110093.4956738132
32,1108315.8026919593
34,1115400.3070602878
37,1116481.229969659
38,1114921.658037925
40,1111054.4005221347
43,1116040.2290572631
44,1115659.6317998825
46,1118232.7679839348
49,1112622.3917167608
50,1112401.4093221603
52,1116310.325913294
55,1116518.7360735948
56,1114214.021133487
58,1116841.4691144493
61,1110770.1899225977
62,1115812.9737836802
64,1112109.256722792
67,1110186.1439387999
68,1116529.478283692
70,1123460.3345496359
73,1114764.7377904546
74,1112032.4550275682
76,1116540.7643381439
79,1110118.6457120848
80,1118025.1424856172
82,1114849.4586218
85,1116329.8584154034
86,1111008.287020175
88,1113711.3238042456
91,1116876.5558312992
92,1113598.4117476782
94,1113076.1123917925
97,1115410.957233053
98,1115597.5409468205
100,1114277.1217708697
103,1113048.0518317774
104,1111257.5144522437
106,1119734.8371704489
109,1114618.0878086642
110,1115496.6447244177
112,1103828.273496816
115,1120707.3840376793
116,1117113.5511290245
118,1115715.3579165796
121,1113501.8116776126
122,1113218.007367722
124,1108017.1496253312
127,1114761.1349351082
128,1116986.9077882539
130,1111357.6832977652
133,1114421.884315886
134,1110453.4668458207
136,1116307.9582267492
139,1112979.6317569122
140,1110384.1201803968
142,1114699.0680737903
145,1110435.3295309695
146,1119627.7653592639
148,1116953.566790595
151,1107133.131864632
152,1115792.321822691
154,1114545.286454745
157,1126354.6170688302
158,1113342.189915297
160,1113870.622848803
163,1110886.8102928365
164,1114124.802237897
166,1117762.629913929
169,1118700.935723571
170,1113860.2479067927
172,1114259.048496124
175,1116358.9617933407
176,1110049.968317706
178,1118533.0504968013
181,1119362.305118387
182,1103118.88062197
184,1113549.0978241023
187,1114140.2716616932
188,1114348.7783694651
190,1119805.8107469068
193,1116053.2649930837
194,1114637.9487130113
196,1111485.6808658408
199,1115415.2218244663
200,1112274.3082966844
202,1113683.9544064098
205,1115146.8315794566
206,1116181.5323249295
208,1115526.5167518577
211,1110935.4484832282
212,1112848.5073624197
214,1107551.116815459
217,1112146.869029443
218,1110469.0429578451
220,1114332.7380582525
223,1107937.9304314472
224,1118711.2881302317
226,1115783.0690450936
229,1117968.4672719806
230,1108568.073017572
232,1110759.9514397085
235,1114674.3468936433
236,1119112.2837224612
238,1115475.1366430407
241,1115752.6965518573
242,1110835.7085366447
244,1109238.163733237
247,1119652.2178933704
248,1113257.0891900032
250,1113862.6790517683
253,1106964.6632137648
254,1110977.5869739791
256,1118735.125025227
259,1115966.6444686607
260,1117380.6752237768
262,1114727.79420241
265,1119884.8599041386
266,1113264.9351104102
268,1111060.8309511717
271,1114897.4366044186
272,1111982.7179077864
274,1116081.2566368873
277,1115209.1941917914
278,1114579.0833187937
280,1115980.1428419382
283,1114534.6172760606
284,1121299.259322223
286,1120557.2632791896
289,1114817.1975910133
290,1111217.7665186562
292,1119442.3475697518
295,1122227.000622808
296,1116516.8469269965
298,1121337.1726060926
301,1115454.1403194957
302,1108354.8058068068
304,1115049.7438092756
307,1111290.5464410863
308,1117941.0067718986
310,1108124.1103115317
313,1118027.1471975292
314,1120424.811058625
316,1113134.6539702006
319,1109939.0584676273
320,1114262.1820652625
322,1113301.9335271013
325,1111891.8769007288
326,1119750.1622954716
328,1117726.5521571706
331,1110742.9461200288
332,1113197.1213441812
334,1118573.3690301853
337,1116169.8095528625
338,1109191.5312727147
340,1099229.4612230873
343,1118448.8909891916
344,1108735.5808577498
346,1114519.637397337
349,1114421.09235822
350,1119448.145638142
352,1114380.6766225707
355,1111047.3572804495
356,1116567.0886262993
358,1111002.66144977
361,1111648.503851125
362,1113531.0596695966
364,1124098.9532744742
367,1106943.5930275586
368,1115675.5958731968
370,1117236.517153056
373,1113096.6344010246
374,1113164.8531985707
376,1103552.195686244
379,1114510.2574875879
380,1116896.4979745247
382,1103271.9819386227
385,1108086.5376168285
386,1110405.1929031997
388,1120450.9827244848
391,1108770.7621851119
392,1118026.5667182775
394,1114971.3746583946
397,1124639.924582362
398,1119531.553170496
400,1117683.935161147
403,1113272.1448158757
404,1114824.4072411456
406,1119318.990374935
409,1120201.7124884478
410,1112051.0208796808
412,1114075.147521604
415,1117566.8757600083
416,1109810.6359985683
418,1118929.3887126562
421,1116429.6938261755
422,1113523.129349313
424,1116188.1541911294
427,1116645.0718646804
428,1114497.6789579203
430,1110943.7517619045
433,1115883.1122790845
434,1117050.5355411533
436,1110772.2780198064
439,1106348.120163614
440,1108457.5350946838
442,1108778.871065336
445,1119616.998885729
446,1112998.4673780361
448,1115782.4635212165
451,1112495.4324043998
452,1118104.7488314295
454,1118310.3592591842
457,1115486.157056973
458,1118960.7178531587
460,1116362.2218993343
463,1117028.126310043
464,1117303.9890778025
466,1114755.2623962231
469,1114349.740310658
470,1112534.666003928
472,1113601.9179531615
475,1108586.3616022826
476,1113211.41069211
478,1108304.13272219
481,1112782.3636524037
482,1119651.2136561896
484,1115183.0388914822
487,1118102.8239051146
488,1115799.5761800709
490,1112546.392203858
493,1119469.9118227875
494,1118845.102606507
496,1110223.5104467324
499,1114343.6201429167
500,1119500.1833800243
502,1116634.788058294
505,1111039.1773357193
506,1106389.919548163
508,1114707.764594723
511,1115330.9177799756
512,1111819.007287121
514,1117288.7587939184
517,1118047.3787711218
518,1117956.8491066112
520,1115870.7005687433
523,1115936.726756556
524,1113431.1679487166
526,1115956.5148885243
529,1120875.5774715142
530,1111091.6668599462
532,1114790.1685672817
535,1115877.1218678402
536,1112139.2853815786
538,1117946.9877958656
541,1113289.1338030898
