,958578086.6022894
1,40512634.645325966
2,40554630.44083507
4,40527202.14600874
7,40398039.66892043
8,40665358.30544378
10,40500932.866815306
13,40642519.29157085
14,40645507.36093442
16,40596054.00438308
19,40557338.43428942
20,40602614.71419381
22,40713423.84008947
25,40498769.59327543
26,40511298.2304056
28,40465257.91333886
31,40640829.667488255
32,40618995.496126615
34,40300997.74658177
37,40463479.6246129
38,40640492.95563537
40,40492280.06850202
43,40498917.11614865
44,40428425.290807255
46,40436601.79522073
49,40605870.94768179
50,40642636.73293034
52,40551873.70690766
55,40478975.96378887
56,40646885.80591679
58,40657014.40375768
61,40481598.84757927
62,40505054.8600361
64,40428437.77448277
67,40394555.3195557
68,40566120.04538055
70,40663171.61583281
73,40585494.32634901
74,40567507.88933276
76,40577553.32753481
79,40624256.125322685
80,40429184.79760046
82,40693691.118521795
85,40572482.29691684
86,40446393.84224595
88,40432551.30034327
91,40524952.17903696
92,40536438.886196636
94,40653277.5881475
97,40614608.531613566
98,40541643.68756768
100,40329564.24456509
103,40534207.69196406
104,40460383.73710384
106,40564260.63743253
109,40623059.33603541
110,40618186.6682765
112,40457351.5527723
115,40456980.90331308
116,40508949.52371067
118,40582142.141837776
121,40565777.12403375
122,40715641.08459835
124,40608594.358879715
127,40475338.250986576
128,40560204.97261585
130,40443920.99874446
133,40522000.88964549
134,40321873.36983911
136,40606136.7004857
139,40400239.80144063
140,40490565.91023415
142,40463631.02323357
145,40427392.84628582
146,40689517.11080243
148,40519233.015715756
151,40371759.183408074
152,40631492.426036865
154,40568335.591318645
157,40697731.58188358
158,40586515.78649475
160,40543152.39683835
163,40590344.84207442
164,40423544.51602805
166,40524759.89933661
169,40457000.9608121
170,40422805.23689008
172,40689882.467670165
175,40499217.70888677
176,40448668.99226121
178,40638840.18340762
181,40604926.79155636
182,40433554.973554984
184,40433223.6443985
187,40524117.70664997
188,40613597.57663931
190,40505481.29686343
193,40518954.2327671
194,40664795.16066211
196,40465268.65147394
199,40389981.32319052
200,40480439.637553
202,40517743.41173378
205,40481856.8288711
206,40737259.8810119
208,40638464.00915098
211,40427782.92292857
212,40416139.41934383
214,40451849.79418437
217,40520675.937663
218,40505295.34481224
220,40570344.04236063
223,40350435.43800696
224,40741782.72133025
226,40612511.948820814
229,40562282.415363535
230,40609845.26089256
232,40562397.57939446
235,40675436.33517729
236,40567027.94839395
238,40440323.96299598
241,40700973.36801226
242,40455494.20757842
244,40495139.57348343
247,40446369.419913985
248,40472312.70690987
250,40531845.70573574
253,40510472.51618347
254,40391476.91779814
256,40389696.88342863
259,40408504.24797727
260,40576172.05394487
262,40513381.15013813
265,40441523.55192898
266,40436996.70282079
268,40507212.82457987
271,40542980.60467051
272,40537990.14104071
274,40399028.71049702
277,40443494.93357615
278,40530061.39470226
280,40535678.87742294
283,40513917.34099196
284,40687546.2729278
286,40771031.35045581
289,40595042.886211425
290,40564332.6638276
292,40488434.66012106
295,40570057.80057855
296,40550356.63298872
298,40617350.71440671
301,40637536.446180634
302,40532802.30733933
304,40692423.905038424
307,40337944.96495443
308,40535883.66782142
310,40520607.29385177
313,40528556.374419495
314,40527610.862220205
316,40536784.50731992
319,40434609.67185231
320,40468606.98754387
322,40472992.72273213
325,40531075.69258133
326,40591898.65563227
328,40466716.81697823
331,40567499.06611501
332,40481446.04630742
334,40480100.00363675
337,40602667.80998529
338,40466907.36513265
340,40409930.99164531
343,40747688.67381833
344,40557679.155863725
346,40437971.84373972
349,40398528.73025296
350,40518490.85739537
352,40518147.57238224
355,40712660.05161679
356,40565411.36025529
358,40487600.70977366
361,40375633.186829895
362,40453406.00806003
364,40573876.58795418
367,40540686.090709805
368,40552309.21353183
370,40576860.574504614
373,40600994.775230296
374,40581998.80207422
376,40281130.44343116
379,40483097.40463016
380,40574356.40894798
382,40513930.29463203
385,40411538.13728812
386,40447160.80508268
388,40630305.46144281
391,40502632.76958162
392,40567699.616118096
394,40715898.04543864
397,40719222.401148885
398,40643916.61740624
400,40486022.191969916
403,40523270.72236774
404,40526371.18610588
406,40663125.27220826
409,40584585.50755052
410,40330293.202258795
412,40545061.35481595
415,40506330.13294515
416,40582029.44996906
418,40699083.235604994
421,40406541.71051327
422,40461371.641676754
424,40500130.550215684
427,40692923.05740144
428,40361479.33637258
430,40482551.77301925
433,40476560.36108502
434,40413935.59205817
436,40468394.760422505
439,40530816.3444874
440,40390608.4251861
442,40470359.980356574
445,40562765.07357222
446,40478859.157813124
448,40614198.807558075
451,40497650.683319055
452,40491935.68622357
454,40323115.39694895
457,40403278.376544625
458,40516268.52060967
460,40546754.27206866
463,40571290.70227524
