,28690841.86798195
1,1216831.4243284604
2,1217172.090731605
4,1215770.8132329609
7,1214546.995716875
8,1217022.3742602163
10,1214814.83951624
13,1216402.6721265903
14,1221010.2402550273
16,1219457.262600326
19,1216313.7281365849
20,1217577.0037626338
22,1218849.8201722791
25,1217437.0896502715
26,1217225.7508166658
28,1214618.9978982008
31,1217698.7777533778
32,1217169.9491142754
34,1216370.741096704
37,1217034.2563312782
38,1215425.076599782
40,1218995.3464813614
43,1216299.1239532381
44,1216595.3925455376
46,1218462.7080864494
49,1215597.163332844
50,1220288.6226804117
52,1221252.9109421344
55,1215679.8058679665
56,1218722.346184049
58,1219111.0859893656
61,1215982.4613857921
62,1216475.6257545392
64,1216159.764498431
67,1214945.2263285657
68,1216106.9942839085
70,1219416.0976013767
73,1216030.0422851997
74,1214972.1667000058
76,1218420.8700469576
79,1218791.1456644824
80,1214490.0274811406
82,1217930.2046734323
85,1215068.957849297
86,1217195.9641915017
88,1219388.1181630902
91,1219878.4187436283
92,1213365.0301019142
94,1218587.7965223964
97,1216207.651181703
98,1219872.6424278745
100,1213244.4995862714
103,1216230.8619959229
104,1221097.1124050291
106,1217938.0796011703
109,1218500.9345329732
110,1217546.023748495
112,1214466.1973405874
115,1218075.2001797105
116,1220093.0836415596
118,1217298.6902534864
121,1214800.5544780414
122,1221027.9882101116
124,1218153.2238455468
127,1216524.1841775873
128,1216747.6577448563
130,1212609.1800441653
133,1215877.0802959967
134,1212138.28537813
136,1216244.6185404363
139,1213866.6892539286
140,1214923.7323064173
142,1214981.0144766062
145,1212382.0250618684
146,1219777.021814177
148,1216473.6410403904
151,1215509.362053716
152,1216936.323837845
154,1216398.717019257
157,1223351.449878042
158,1216400.051988765
160,1215378.0127394232
163,1215143.9799046223
164,1213406.708679062
166,1218686.2974205827
169,1219142.0377819473
170,1217303.6769007137
172,1216103.8994412846
175,1215267.3042526788
176,1212571.0149443857
178,1221358.2852929381
181,1218926.89871472
182,1221717.3525059558
184,1215019.731463055
187,1217743.5529942706
188,1215340.962610029
190,1215071.790329686
193,1220489.7632357017
194,1219913.7268111606
196,1215130.0201844864
199,1297794.4413973205
200,1302133.2213033354
202,1301330.4329643173
205,1303303.570933081
206,1303049.203682161
208,1300993.7833166004
211,1300188.8231501987
212,1299815.792881687
214,1295418.499329227
217,1299692.7660672418
218,1300921.493979876
220,1300151.5379949503
223,1299086.3422813078
224,1304841.4288779243
226,1300522.557662712
229,1304054.8954541185
230,1302406.7804155764
232,1302245.819353117
235,1302140.0569640475
236,1299688.483828866
238,1299347.292587996
241,1303638.8344464677
242,1303380.1355166095
244,1298858.6081308918
247,1303666.4184599388
248,1302278.5913240963
250,1302761.0076132638
253,1303905.875267812
254,1301417.5662717514
256,1300431.3700317512
259,1300042.4687670872
260,1301114.087804678
262,1301671.2143490445
265,1300452.4967032347
266,1304514.5835800008
268,1303620.0213891154
271,1301084.0518233082
272,1301880.099336644
274,1298356.293346082
277,1299588.4116453584
278,1300154.586776245
280,1303072.2289051132
283,1300027.853720536
284,1301535.6792620562
286,1304802.5019998504
289,1301338.1934498597
290,1301406.8393307412
292,1301390.1039822828
295,1303105.9947464312
296,1302749.9535405955
298,1305292.308330635
301,1302142.0394470796
302,1299760.6402435147
304,1303947.7457712083
307,1301845.444990947
308,1302936.7367386774
310,1298624.1443984914
313,1300832.2388872637
314,1305676.9635809993
316,1300812.8320057816
319,1302448.1746257765
320,1300867.661111531
322,1303915.4150921793
325,1303036.3919330675
326,1304733.8538617343
328,1304267.1046049527
331,1299789.625464326
332,1302318.390610232
334,1300181.2643634335
337,1305369.241706934
338,1298155.1944554234
340,1297779.862813994
343,1304028.3386011487
344,1302421.2663356082
346,1301959.2370685278
349,1295958.9085523435
350,1304035.8644799497
352,1303768.3277892398
355,1302163.6767586253
356,1303258.1601139922
358,1300081.1714575528
361,1296893.3026437117
362,1302686.0798590877
364,1304477.149559203
367,1301018.7110308732
368,1301784.1658395021
370,1300107.1321438595
373,1305005.169529146
374,1306837.0907150905
376,1297511.1681524902
379,1301091.486946314
380,1301321.443108185
382,1298093.1193390072
385,1300551.3001768563
386,1300836.3364462103
388,1302916.017662407
391,1298874.2935452026
392,1302836.4914893424
394,1302908.5954706916
397,1303756.5476365697
398,1122209.6309713232
400,1120972.0253803646
403,1116414.294141215
404,1117452.1584661163
406,1125451.5964864343
409,1118410.5737123897
410,1116106.2653867179
412,1118422.519711691
415,1117357.5825619313
416,1120383.3832737026
418,1125019.8274702777
421,1117150.0508494705
422,1120138.5173065637
424,1122848.0032669248
427,1123450.057597963
428,1121611.4966644992
430,1118480.3232492341
433,1122294.8671660165
434,1119692.9386622095
436,1119144.1759549715
439,1117283.7547053883
440,1119449.4079514733
442,1118879.5479879414
445,1119575.626937499
446,1117128.04032083
448,1124008.8914096244
451,1119789.7541208647
452,1112492.5862126902
454,1118235.733827259
457,1118354.9637506758
458,1122464.1525894245
460,1117357.9624934255
463,1120544.1695442474
464,1123228.6977683096
466,1119008.5586540424
469,1120491.9820863
470,1120502.5482321472
472,1121271.5528136783
475,1116996.6697877527
476,1118051.1161574223
478,1116724.9118148405
481,1122640.1599447387
482,1118623.4291019898
484,1117507.5856192082
487,1122727.6680125608
488,1115913.6925816615
490,1117534.6161124941
493,1123736.2065956048
494,1114500.248291079
496,1112378.7474889627
499,1120308.4438322505
500,1117553.1272923877
502,1121625.4457184353
505,1119121.3464562322
