,25544940.627575256
1,1084108.9338314848
2,1079111.047076171
4,1091240.6207692982
7,1087192.8100557365
8,1080779.0360896008
10,1088370.6557238102
13,1085100.4807982424
14,1094284.5173082056
16,1087613.680230942
19,1076062.0128278763
20,1072539.4139951193
22,1103807.420225551
25,1079996.7910153135
26,1096466.0946750303
28,1066929.3233773361
31,1126833.2031696492
32,1118848.6649106238
34,1098285.3463334746
37,1115162.3505777123
38,1110101.7809340523
40,1131072.6919965814
43,1099302.53763572
44,1132747.8875645858
46,1208172.6116538143
49,1182263.4799958095
50,1188323.5618834042
52,1202458.4290821764
55,1200742.132602724
56,1201158.5755029854
58,1208462.1202529822
61,1183890.0525014664
62,1093143.8225351293
64,1103888.2785997044
67,1094854.6417205085
68,1090911.201956826
70,1093190.709771857
73,1093354.7317629608
74,1115861.6552754873
76,1096181.7499035527
79,1128557.340481301
80,1116207.7729759733
82,1098479.9113056522
85,1134066.3408565938
86,1081857.010733683
88,1090386.8573119908
91,1129017.838916474
92,1107011.7290116465
94,1137906.3825611987
97,1141661.6888588222
98,1147390.8903004215
100,1120440.0736619083
103,1136825.5685982034
104,1140108.010546161
106,1153207.2409086083
109,1138663.0637384923
110,1112665.7663614159
112,1085642.454334094
115,1107427.8810793818
116,1101931.2173346065
118,1107157.249298839
121,1121542.5665786264
122,1118843.521345295
124,1112019.7078036224
127,1111258.1430221908
128,1114128.7750484203
130,1074459.6582191023
133,1077699.4454170521
134,1083823.5695151247
136,1083835.2177619722
139,1057071.843959755
140,1104733.700974178
142,1120184.365968968
145,1154024.1401338286
146,1122841.5236998056
148,1153562.1092830952
151,1145524.9543496792
152,1129741.539129546
154,1134260.1992623883
157,1142187.475118005
158,1111087.369262278
160,1089594.5085838176
163,1118225.0901218047
164,1093742.0168774459
166,1120222.2434242917
169,1118439.2855216372
170,1093627.02667495
172,1111246.9108181777
175,1164656.2912903698
176,1152298.4338431067
178,1156312.2138482695
181,1143992.66131816
182,1163957.7351731025
184,1130163.8320423148
187,1180782.1869963915
188,1152050.9458199884
190,1042725.114823739
