,27318388.919525474
1,1156329.9937484595
2,1144601.8380442902
4,1145838.6736767327
7,1134645.9018643398
8,1150394.2375587716
10,1149174.6864418322
13,1162269.7177530744
14,1208128.5516589046
16,1207532.447076187
19,1199152.8819697422
20,1204302.303417211
22,1188485.6796520986
25,1219592.6485801225
26,1182024.8679623555
28,1176784.5994928533
31,1133852.9969715024
32,1139540.4540482445
34,1115848.9570943892
37,1128592.4676713324
38,1127835.3816633108
40,1135779.1798239406
43,1110696.9067657841
44,1162341.0039383867
46,1217485.3671732636
49,1216592.0958795985
50,1199377.3945261044
52,1188765.0682718311
55,1185488.6287032834
56,1182741.585507022
58,1174546.4693322862
61,1182600.925141841
62,1133916.784709097
64,1152139.645532444
67,1135156.993822341
68,1130316.9019047378
70,1160020.7048447889
73,1090617.1573193672
74,1124427.0361386316
76,1128107.2995158252
79,1241933.1602261092
80,1243780.482971515
82,1255168.8802709233
85,1255416.135863131
86,1266758.8677900115
88,1250313.9885382063
91,1249334.3025668643
92,1243822.3954733415
94,1086283.6699973133
97,1090631.087403787
98,1077862.2535721117
100,1083596.039632056
103,1078739.3583053194
104,1091652.8525237103
106,1089022.6234092098
109,1058090.8015342061
110,1149391.9992655802
112,1178938.7237590048
115,1134160.0669761915
116,1145887.2816063184
118,1164154.4102439308
121,1131771.8600684267
122,1139555.2913232034
124,1123985.11290431
127,1184995.4323861243
128,1183731.1425165238
130,1174438.9835352288
133,1196524.531661981
134,1167341.064539337
136,1185977.75839808
139,1198397.5040885832
140,1175511.8905906198
142,1041682.5730190622
145,987030.605001898
146,1034629.3539672336
148,1014127.9096798806
151,1007455.8488376769
152,1034527.7345419084
154,1034015.2532887562
157,1011874.1986838179
158,1074221.057339908
160,1088465.4056568209
163,1037194.9478813095
164,1037404.3301422689
166,1071965.071245056
169,1047423.0677654223
170,1054630.5133170234
172,1049117.9758707767
175,1163542.7754903352
176,1173103.7313042267
178,1136668.3560606237
181,1155273.823746597
182,1162578.946923694
184,1176180.5944975542
187,1168644.5509103083
188,1181307.5725122062
190,1074635.2056408303
193,1080328.8458423358
194,1115071.8593361198
196,1087200.6271160934
199,1090065.9552089593
200,1108076.9326839114
202,1075003.790359987
205,1106367.263745884
206,1119759.5766850624
208,1114526.3965064785
211,1135657.8600898553
212,1154225.4716346804
214,1131565.992747423
217,1122423.0241560917
218,1141535.7678372255
220,1138022.429220801
223,1073132.9811529834
224,1080160.5435826054
226,1090721.5938794806
229,1087006.1070397908
230,1129649.4610237563
232,1116737.6723290544
235,1117313.2506658416
236,1053787.1255326096
238,1109683.9931269523
241,1099840.0885404989
242,1091949.534680046
244,1127487.6777621137
247,1146502.8735942577
248,1181095.4045319913
250,1105486.5370194274
253,1107272.8970319494
254,1094894.7630145336
256,1119148.6037076465
259,1102073.0257428433
260,1110171.7274949683
262,1123905.2839861303
265,1101890.7665021028
266,1114673.2480619897
268,1102401.4108417653
271,1169832.959637878
272,1133936.462109039
274,1114278.9332881644
277,1148031.4661774626
278,1153174.1948639285
280,1100406.6649346831
283,1163846.2188726235
284,1109951.254632132
286,1116558.8580414236
