,26175655.913453266
1,1103698.2087542815
2,1110938.6834436487
4,1111266.0114458709
7,1106382.6934083775
8,1113118.307749445
10,1108382.4449157636
13,1102594.180300007
14,1102110.2930234154
16,1108780.224462337
19,1112747.42048873
20,1104951.4772357056
22,1100297.3538338188
25,1102995.642881866
26,1100249.6372900573
28,1110381.7209805108
31,1106643.7187950735
32,1096509.8924609374
34,1104030.2188675238
37,1111786.7133119302
38,1116205.0124432563
40,1097024.1156591277
43,1097926.066847136
44,1104286.6702791252
46,1102105.5904994984
49,1116477.6901204535
50,1105168.8781593773
52,1098980.5868707898
55,1107733.3601788487
56,1113074.0526197501
58,1087743.0521260377
61,1102996.0646117327
62,1099484.9429380316
64,1096729.8651544272
67,1111544.9481118561
68,1106873.7864030676
70,1116493.5309341084
73,1108159.313112249
74,1106693.5400140942
76,1115547.70063199
79,1100500.2674449028
80,1102163.7427430262
82,1116676.2888039788
85,1105774.2760491744
86,1107986.689846792
88,1112763.4955227056
91,1101238.655569931
92,1102513.779658363
94,1099781.2324425096
97,1107740.8440655293
98,1100730.0973971363
100,1100827.7223793152
103,1109006.7268270133
104,1113008.6855332602
106,1109698.736783825
109,1103435.020885996
110,1109083.1719215838
112,1111038.945710442
115,1106823.9828254434
116,1108851.5710255366
118,1105060.8699665188
121,1100160.7677061332
122,1109605.1509499818
124,1108559.5646805926
127,1106984.0992962527
128,1106690.7140629194
130,1108591.166464053
133,1117304.627342869
134,1104841.1380995892
136,1112537.749202995
139,1110340.7795518984
140,1105656.3277695908
142,1105574.6634724364
145,1095182.9567582994
146,1121604.2242704674
148,1100842.8939782337
151,1101115.607852756
152,1107321.150111752
154,1102180.9484387974
157,1112914.2067148678
158,1110944.3803590804
160,1108642.2169659683
163,1109464.4919120409
164,1104262.0456863062
166,1112048.9279840812
169,1109470.4311536138
170,1096530.1162271698
172,1110749.5742224178
175,1101858.985485407
176,1102587.5411465564
178,1103817.5441772435
181,1110091.2612856948
182,1105504.5995197583
184,1117356.470532191
187,1108157.050703359
188,1112779.9512267285
190,1105974.0618228873
193,1095303.6482163507
194,1111390.2823207106
196,1109978.8601597056
199,1112293.7741222975
200,1107465.3777036634
202,1102891.2787785085
205,1102681.31419679
206,1102170.6062281632
208,1109027.315614195
211,1101466.4499116067
212,1107537.2062493372
214,1101113.3950884878
217,1103105.256125275
218,1109209.3659512436
220,1105759.5640830235
223,1094290.5933503923
224,1116057.134185768
226,1102020.3523029073
229,1108393.9873409865
230,1104360.7306134785
232,1107124.4059661976
235,1114088.9056490217
236,1106922.415275863
238,1111371.9807008686
241,1108690.9206698511
242,1103421.9960492256
244,1110674.564725446
247,1107746.795906303
248,1101406.1970688764
250,1102878.537803971
253,1167515.0478076467
254,1163945.7630046115
256,1155134.2556728688
259,1145533.2581621255
260,1160518.5649293233
262,1151867.8141816363
265,1151381.8155114083
266,1165195.3468711684
268,1155683.8073855715
271,1167223.8105645264
272,1149297.401708409
274,1149262.6476794486
277,1159340.107996808
278,1165529.7335212107
280,1170861.3363111352
283,1162129.1269371845
284,1162348.4902973736
286,1169162.3303419803
289,1162085.4343280962
290,1168959.2347532213
292,1161684.4508502365
295,1165835.1163642912
296,1161698.175651247
298,1163640.2567297362
301,1154086.0980905378
302,1161185.8565857217
304,1156483.5033439314
307,1164575.6061320698
308,1163645.9881529496
310,1163231.9795894262
313,1148283.939506371
314,1150217.370430055
316,1171458.2978160966
319,1162231.7542640115
320,1163342.310405244
322,1161808.4215562234
325,1150693.3639661635
326,1158179.9017536778
328,1156787.8763844455
331,1162425.3416723504
332,1155030.8487668757
334,1159562.3243786646
337,1163369.7818431514
338,1154756.461210238
340,1168563.3232925518
343,1169182.3763626781
344,1166180.3119570243
346,1158335.5051457037
349,1164728.5076712999
350,1156577.9416607057
352,1168137.5868262278
355,1160646.6484072502
356,1162398.7332130435
358,1159530.4097901375
361,1161187.6055868024
362,1152799.8131273605
364,1166097.6408079423
367,1160886.4362915019
368,1153052.4586110958
370,1160467.8416986926
373,1171253.7140768447
374,1162620.3019191595
376,1150293.8064238196
379,1158525.7614548707
380,1150605.6679855979
382,1167706.2092009075
385,1150776.7704478404
386,1160033.4297403703
388,1150454.4637248663
391,1165129.7365660695
392,1161847.3151509834
394,1163612.467221678
397,1167713.5168668604
398,1157223.007468907
400,1163351.410773778
403,1154751.5321274681
404,1153178.4924896697
406,1161836.4177266893
409,1147305.9677085674
410,1161211.5642562045
412,1164356.818881423
415,1170871.3302315713
416,1152544.507791322
418,1164145.8888997266
421,1160698.7369229598
422,1157089.9866555321
424,1172743.5162562581
427,1163764.6383007423
428,1165773.0362760683
430,1147908.9777935292
433,1163156.6760763256
434,1172654.4080908275
436,1163448.2117420104
439,1160480.1768995512
440,1159663.8688020294
442,1152484.9682449854
445,1171388.2227088965
446,1168902.1952751093
448,1160113.880981798
451,1161091.0052878605
452,1160758.071299925
454,1154168.7256876011
457,1163972.0058443898
458,1162326.4702878243
460,1158135.4168049654
463,1176793.2356933376
464,1162859.2593269567
466,1159780.4409979105
469,1156420.9328004203
470,1163102.6683566892
472,1162903.348719448
475,1170355.2698293165
476,1151081.0172576322
478,1168269.01499025
481,1161458.9416920831
482,1166961.8398613017
484,1169335.169300829
487,1167942.4501346298
488,1159706.1604994875
490,1156631.8573507268
493,1171775.4949877367
494,1168527.256998403
496,1166474.8915410817
499,1172334.354237286
500,1160539.6081632476
502,1166914.8950922177
505,1153494.2182296023
506,1114212.990103644
508,1117265.731460761
511,1116681.3603482323
512,1114332.6339068913
514,1112571.4073104127
517,1119939.8628933174
518,1116431.3109331517
520,1116516.0559493492
523,1117007.0902194572
524,1110479.272864231
526,1116532.968457744
529,1119887.042228267
530,1110401.6167669904
532,1112348.2491424012
535,1120414.482756685
536,1112913.6150503429
538,1115151.8419470615
541,1117071.9933401032
542,1119375.322932751
544,1111631.8459016522
547,1116596.0552193685
548,1119657.0533139515
550,1114063.5527573612
553,1116873.4726760357
554,1115448.7078704967
556,1112624.8829927333
559,1112139.7305122658
560,1116645.2813552744
562,1111931.8802824512
565,1113734.2664766887
566,1112514.4175041604
568,1115996.9214397895
571,1117641.4628219726
572,1111775.5874123
574,1112668.3777159073
577,1112134.7459831825
578,1115570.173400251
580,1115587.4779627742
583,1119798.5385171354
584,1114194.0175034592
586,1115391.5485749063
589,1120623.4513711806
590,1117390.528691646
592,1114978.5231846427
595,1111217.8080746136
596,1112767.5382029552
598,1116979.7964647578
601,1113893.7680259307
602,1115686.5821783377
604,1120291.672979688
607,1115241.8357430454
608,1111427.871374182
610,1116005.3097654055
613,1117404.6845410743
614,1117048.1464562125
616,1123130.9270160582
619,1112468.7264709873
620,1116195.622611645
622,1118604.655934446
625,1110979.6546361763
626,1117555.6783133114
628,1114080.423616109
631,1118578.8739674108
632,1120193.5141028345
634,1116075.9600701581
637,1115184.9339168712
638,1115704.470540648
640,1116014.1539841269
643,1114736.8752772678
644,1107959.422397889
646,1118931.5649785162
649,1113433.334151942
650,1118582.201832196
652,1113312.2595165095
655,1108697.8403940091
656,1115363.461550005
658,1112655.41859181
661,1120088.7932981083
662,1111402.186891514
664,1108513.964796957
667,1111557.4523583758
668,1116096.3554964548
670,1114224.5024694372
673,1115295.2661349874
674,1119251.922182441
676,1107440.3358941106
679,1118733.565611921
680,1110223.0452320187
682,1114710.3346372196
685,1113288.62372444
686,1111809.4141062854
688,1113837.0079152759
691,1115483.5772387628
692,1112987.9916974134
694,1109167.8533354362
697,1113233.5578026257
698,1114547.4291001451
700,1116885.5094608888
703,1113584.5134881171
704,1113284.8266763412
706,1116527.8634341168
709,1112312.5894106545
710,1114205.536800892
712,1111559.8081722015
715,1114220.9849602066
716,1112052.8000622662
718,1109107.301148633
721,1110823.6145039517
722,1120053.4073135713
724,1111776.405286667
727,1112988.4862149416
728,1114451.3173296356
730,1111290.50034317
733,1117227.2201263455
734,1111198.9755361674
736,1116415.3880980704
739,1114905.3529395235
740,1112411.155487492
742,1117018.3805296216
745,1115444.286610603
746,1113797.8876209455
748,1117125.805193342
751,1113214.9745609772
752,1115469.5749972775
754,1114479.0944502258
757,1110862.1315585678
758,1109665.4728306443
760,1111332.3263829441
763,1086566.3144252708
764,1093970.1674139968
766,1108757.4330073209
769,1094999.8409583413
770,1109667.3833510228
772,1116216.1805220728
775,1091649.0056699335
776,1089982.0544466907
778,1091677.669146413
781,1092560.229069296
782,1095165.841636258
784,1103332.7569564956
787,1075074.3774414058
788,1091525.757791853
790,1111401.9799952365
793,1097746.6256479467
794,1088532.158187414
796,1068437.567561485
799,1077133.0741819327
800,1090189.1870394035
802,1100370.3386680088
805,1082038.9970840886
806,1095250.3758583844
808,1095266.853789992
811,1092245.8497966975
812,1105439.3637394942
814,1093897.9651407164
817,1092732.8211451152
818,1094340.59447158
820,1094525.9420785918
823,1079821.879483957
824,1099804.5844195948
826,1096248.5244933357
829,1089758.8157962745
830,1088498.8082452246
832,1093460.643856019
835,1083744.6975520349
836,1093820.564468394
838,1075178.2273254415
841,1079513.7066032
842,1082872.1456317203
844,1090223.1083571531
847,1093588.0544306163
848,1117531.3958960208
850,1089777.4158680863
853,1092384.447391573
854,1099834.8841488676
856,1115293.6628521814
859,1109134.8371956667
860,1113008.6734423924
862,1098046.8790277692
865,1100080.8951460868
866,1086054.198619764
868,1090917.098439098
871,1091901.2126721141
872,1092044.3616191694
874,1078672.4265040692
877,1101381.1840144263
878,1097900.689407979
880,1096755.1572174893
883,1087098.2784244812
884,1101587.2084554923
886,1104269.9643588518
889,1092861.065252791
890,1085378.4516683577
892,1097317.2421829517
895,1098372.4192039953
896,1109746.7112925905
898,1088638.8685939303
901,1091155.331736848
902,1104676.3547981554
904,1086338.6063944723
907,1086626.97107225
908,1097827.713146702
910,1095858.5842152457
913,1099390.212279332
914,1087900.1874087318
916,1101118.7036482962
919,1115277.0492543357
920,1083101.6839904776
922,1101239.0288687095
925,1091767.506799078
926,1102858.000437232
928,1090958.6011802824
931,1096603.227731744
932,1091591.0719189805
934,1097711.7776205991
937,1105976.200906789
938,1106287.9681865529
940,1097621.9826364534
943,1098877.1944536068
944,1100218.892459756
946,1084661.7845053237
949,1081884.1925359732
950,1088775.738787838
952,1087401.999090446
955,1094409.2974905786
956,1089703.2920978267
958,1085560.1321310217
961,1093187.4974527953
962,1082911.9566989234
964,1090519.224675585
967,1104407.134914418
968,1087127.8624147521
970,1104274.8880616752
973,1111035.0923514662
974,1092572.928855203
976,1088343.6084418818
979,1087911.2288458252
980,1089875.2309117136
982,1092886.8571027284
985,1084449.161220005
986,1098854.9127191966
988,1086179.248998512
991,1101913.984995895
992,1105144.7355618102
994,1089334.2329925217
997,1096375.5509575321
998,1104915.3027028034
1000,1097525.4379268955
