,25411032.19594042
1,1072859.6410593062
2,1081543.1254452786
4,1084563.071573018
7,1078633.7572356611
8,1082502.129947989
10,1077972.908385881
13,1065685.175940555
14,1073221.511527974
16,1086375.3384839806
19,1087641.2636246781
20,1081921.1709640198
22,1081343.390562635
25,1068991.645978344
26,1076144.365973184
28,1090547.4964007807
31,1073278.4701977437
32,1072976.3773110553
34,1079330.6441852306
37,1084361.7086931623
38,1092397.1345682964
40,1073552.9664864657
43,1067292.8252721406
44,1088260.124939607
46,1077080.0472625399
49,1084908.7019825738
50,1071252.6322012895
52,1058836.4099461385
55,1085059.3633487204
56,1085188.0708779404
58,1058088.9984947746
61,1070903.563375681
62,1062085.540458057
64,1066539.43870669
67,1074854.1507687795
68,1069587.5921603013
70,1078665.4569418689
73,1075200.0415084632
74,1076637.5773834225
76,1087422.6184877048
79,1067041.2628765695
80,1057528.0454616507
82,1076087.0347305422
85,1067170.003573384
86,1075793.285472934
88,1079088.968243933
91,1075762.338675893
92,1067060.357008952
94,1059506.1201187032
97,1079921.8936979761
98,1071111.2906643185
100,1068869.392069343
103,1073744.1606914925
104,1086274.7743264828
106,1084898.352316443
109,1067987.70544907
110,1080283.0457872017
112,1071172.0966022233
115,1087491.9665857246
116,1074118.3246369667
118,1076691.4994765145
121,1077229.607277287
122,1085160.859353295
124,1083282.0790226837
127,1073724.8814535972
128,1077883.4754737422
130,1068858.7253079116
133,1090399.1541017995
134,1074734.4820291353
136,1089346.0715266687
139,1078121.120324064
140,1082066.8246634437
142,1065804.8687273087
145,1062260.1637698724
146,1094562.0689451005
148,1076668.1868944867
151,1071467.7749447487
152,1074997.9342723284
154,1074166.3607980022
157,1078482.095576789
158,1086063.8534776221
160,1087229.4299144698
163,1079675.977819824
164,1081154.1960617807
166,1089092.0581173403
169,1087660.6055636832
170,1078866.768363603
172,1075818.1240826026
175,1064197.6875794223
176,1092342.567620221
178,1083379.2162777765
181,1094424.1787052692
182,1066671.1596259356
184,1085569.6671000316
187,1070085.144429618
188,1084818.574172879
190,1067667.1216676384
193,1062506.1323550777
194,1083234.2389226048
196,1085274.8799140502
199,1078438.264830807
200,1068797.3897781002
202,1083392.7508462453
205,1077517.3296530214
206,1078469.2272677233
208,1080343.411097192
211,1069805.9684207113
