,990450418.3615103
1,41628611.77828863
2,42180511.09211269
4,41601948.097495586
7,41778419.22508586
8,42033012.8400877
10,41944570.066664055
13,42361350.11550864
14,42550360.89719601
16,41616896.14588505
19,41499640.55351849
20,41659364.01642908
22,42038393.00827223
25,42441280.66368467
26,42105187.031113654
28,41469988.64722506
31,42106423.699903436
32,41694011.16609092
34,41600348.16885034
37,41556524.243915394
38,41386725.11761305
40,42099887.51685343
43,41847994.72713059
44,41209289.32629278
46,41470387.61297959
49,41654744.02582529
50,42164205.50932327
52,42945034.38048718
55,42001849.776892304
56,41842025.415823944
58,42358874.29805666
61,42210096.83945429
62,42195108.96153913
64,42279564.83202029
67,41715135.36982984
68,42424833.899714544
70,42078705.42713942
73,42330890.23445772
74,41954808.77808058
76,41748447.10186336
79,42181473.555504754
80,42567066.808077544
82,42391482.89276472
85,42401746.08796158
86,41809741.1531343
88,42111241.555822544
91,41691650.845812865
92,42112635.93649564
94,42642275.98018854
97,42013561.56467664
98,42007970.82054839
100,42176214.90820931
103,42135137.72928603
104,41438071.80669825
106,41390219.459479444
109,42591278.419411495
110,41906032.63073251
112,41929381.21637162
115,41521143.3748174
116,42193611.03390065
118,41776641.34876153
121,41325620.84680592
122,41915521.56919102
124,41901997.51771409
127,42022007.53063306
128,41827896.16476721
130,41751908.80178089
133,41371082.82024157
134,41676742.102441885
136,41445133.38516373
139,42014977.96868762
140,41596884.48313388
142,42636583.84802644
145,42308161.30887896
146,41712824.83391015
148,40939091.242428586
151,41973993.93133379
152,42370473.18951538
154,41797080.60201127
157,42015042.20523052
158,41452835.891452126
160,41609343.60916752
163,41814184.1681267
164,41631591.77292424
166,41406057.56873189
169,41418586.8703767
170,41397265.998046085
172,42494452.27003664
175,42467266.563389786
176,41061423.08185061
178,42136582.98321008
181,41167159.78239927
182,42120413.376887314
184,41376862.820934325
187,42008565.37547951
188,41549516.81625798
190,42412482.68931608
193,42614417.45490538
194,42032775.85622021
196,41543241.961025976
199,41986050.77562237
200,41877362.79589216
202,41456647.25207829
205,42053181.71112394
206,41795914.37501277
208,42083015.495450735
211,42232442.16653982
212,41487679.8150218
214,41402959.13094183
217,42035270.53619086
218,42123982.96237293
220,42368399.41819708
223,41643751.82687501
224,41321771.814980246
226,41862236.055877306
229,40823350.93838783
230,42314079.72370537
232,41840903.62809602
235,41360608.27172521
236,40951400.26059644
238,41576789.41641202
241,41125222.30874099
242,41743603.991666235
244,41793567.061831295
247,41221781.93091982
248,42196774.457299024
250,40504405.908270575
253,40399554.66299355
254,41238849.66549061
256,40415068.18682551
259,40935195.591909796
260,40897412.56553918
262,41053832.10656178
265,40794386.41176256
266,40416840.627441734
268,40809398.47938459
271,40962325.57025691
272,41269973.17083336
274,40778141.0338646
277,40395667.24132598
278,40362393.226548284
280,41355113.143028915
283,40531897.346731156
284,40491568.19396842
286,40939675.77643967
289,41201418.47983165
290,40820757.4132613
292,41252214.100778155
295,41289365.71057515
296,40780639.34574917
298,41176227.47843001
301,41257741.74630043
302,40682078.65702801
304,40782479.99595353
307,40602829.96426257
308,40370438.049938396
310,40754413.65048226
313,40312050.36985483
314,40795282.89724077
316,40808857.786197476
319,41257390.56328499
