,1005652959.9354479
1,42195762.9630212
2,42180159.511347905
4,42466285.52330173
7,42329627.01327804
8,42470925.92769667
10,42884031.93383787
13,42005877.14531318
14,42083581.23120893
16,42723813.28783199
19,44077148.11802716
20,42043780.791933194
22,41564016.43944979
25,42654880.82415874
26,43641404.523972675
28,43391080.35971283
31,43041862.42788104
32,42715964.44145308
34,42966251.84762274
37,42919390.66680292
38,43072350.31432181
40,42112373.916109405
43,42639668.36216118
44,41728351.68963488
46,40731362.58901688
49,40842213.28071625
50,42993427.265546724
52,41541615.17291872
55,41320374.6676882
56,41653500.80642486
58,41576526.65295888
61,41856921.20237607
62,43468314.0023442
64,44339701.51002266
67,44842490.63614165
68,44165451.062957704
70,44801875.14013435
73,45644175.91997589
74,44338679.928063005
76,44556612.98700744
79,44967628.958203346
80,44917363.87724313
82,44705800.732923046
85,46313798.9424206
86,44911455.72612428
88,45081056.80992718
91,43236372.337258466
92,44312409.4969306
94,42349923.860155076
97,42170389.6630694
98,41613165.662586935
100,41615569.3659425
103,42255904.65093264
104,43062826.12153173
106,42077846.02752496
109,42812659.60513119
110,44964527.03502347
112,43548732.43461558
115,43295225.34354219
116,43453609.71397668
118,43532263.173883
121,43405207.45230985
122,44697462.93630331
124,44836639.971865974
127,43755552.09880724
128,43614276.40952953
130,43385821.11913186
133,42594556.5940635
134,42854098.299765
136,43341617.535762526
139,43033794.379868574
140,43556333.147626415
142,42610190.31146185
145,41631468.84203156
146,43123776.73227784
148,41549762.82173372
151,41550465.450262174
152,42694744.3416646
154,42076061.98043743
157,42637047.511412
158,41965232.72673803
160,43201442.23462512
163,43425276.90220309
164,42163475.44612038
166,43556592.60084663
169,43210285.848470345
170,42880771.420891665
172,43486214.639789104
175,43243275.13405108
176,43082919.7420813
178,43612020.81772543
181,42502110.14142152
182,42267035.24741288
184,42067979.1306017
187,42726580.23776265
188,40714976.370004386
190,43133991.964627564
193,43717257.826819494
194,41896577.296981744
196,43873282.64404371
199,42218077.97813821
200,42862784.44367579
202,42685064.342054136
205,43885780.0480977
206,42554805.44823758
208,42410195.598215
211,42517162.28672171
212,41507589.284322284
214,42361408.46660715
217,42113839.869700044
218,42700158.40339878
220,41490783.489556774
223,43275345.46055904
224,43513783.10483151
226,43228108.347566135
229,43481062.0220295
230,42755269.1881121
232,44054100.20686461
235,43052859.960527845
236,44180383.23959243
238,41091136.8545782
241,40461630.73822693
242,39647176.07134654
244,41148111.19161126
247,40890160.71856598
248,41189264.55195668
250,40024208.95125101
253,41040392.77912472
254,42000250.19557925
256,42038175.58278416
259,42995576.35704129
260,42966433.60900559
262,42536691.92604538
265,43701757.765120655
266,42716923.30569449
268,43280723.45636636
271,42194188.88345761
272,43034186.43014048
274,42847107.23512098
277,42446991.22403865
278,42183931.82934662
280,43128256.69630683
283,43045857.97301173
284,42867807.9562285
286,43051824.2147333
289,43559388.90149585
290,43323200.794940464
292,44659414.13927137
295,41661544.12225052
296,42472491.863251686
298,43147873.10159616
301,43394792.20631316
302,41123452.48788545
304,41024574.53994182
307,40105935.505100556
308,40099531.3885258
310,40483723.66050816
313,41220273.522316776
314,40694376.45432226
316,41377806.937246546
319,44634968.01202414
320,44188019.871346265
322,42657452.510834925
325,43053843.3351571
326,42476574.60973299
328,42550698.52990686
331,42715635.886115514
332,41837296.43188031
334,40934559.97237864
337,42192824.44647779
338,42111118.23993693
340,39259859.228446
343,40828668.05759377
344,42744204.79339075
346,41976760.065126635
349,41093605.04320809
350,44196322.23400502
352,44208781.2678159
355,43588650.38109265
356,43979485.037953764
358,43360739.28680904
361,43566593.734777644
362,44049648.50496207
364,44798759.101953775
367,43434778.13505867
368,43799897.31549035
370,43331676.59982177
373,43572384.892787874
374,43371575.719310746
376,42467939.24618438
379,43257452.677419454
380,44201032.53828999
382,46896715.02104516
385,46828118.404689364
386,46154592.14481783
388,45591888.933211766
391,45778321.15375569
392,46236915.52982944
394,46569400.43398499
397,46476460.05967498
398,41945935.042216904
400,42444811.61043315
403,41374738.11679426
404,41739645.0020849
406,42942754.72564266
409,40450790.66505862
410,41722166.55709536
412,42346695.51039121
415,41976051.56546132
416,41463625.52522804
418,42616797.27413561
421,40851151.900161795
422,43387144.46952267
424,42081745.07218626
427,43012036.094649464
428,42102268.423956506
430,44382736.760795705
433,43842453.88181222
434,43018820.61832649
436,44993111.57984572
439,44242983.63552385
440,42537197.49179553
442,44097175.65246604
445,43994098.99069874
446,44065183.828148335
448,44799547.38910932
451,43139707.1098467
452,43503832.6371516
454,44100431.32910003
457,43256594.85153931
458,42704959.8968157
460,43184468.305625394
463,42706539.75550519
464,43331185.274643816
466,43042748.373300575
469,43190289.75925463
470,43867425.52081276
472,43566693.05400575
475,43569147.95789713
476,43165653.502858974
478,42032669.0593232
481,42002862.27394529
482,41857856.63399301
484,41491074.93552726
487,42102509.37898349
488,41491819.913260706
490,41695126.8499149
493,41341240.811981134
494,43736961.97413451
496,44769117.051430985
499,44423483.039936624
500,44643408.358122274
502,44219741.77441806
505,44158907.02010878
506,43900721.98296697
508,44288232.95297234
511,43238759.412452415
512,42634416.24074541
514,43611038.120663784
517,42109026.64931252
518,42536180.198751986
520,43777781.96651858
523,42143432.28405249
524,43310326.48292464
526,45149633.75174516
529,45692683.20154206
530,44164445.116164364
532,45354032.71290897
535,44958555.13789756
536,45148538.14388729
538,45165349.96294939
541,44212955.9791601
542,40843767.36391275
544,41356017.30474849
547,41128079.63162873
548,42109744.48230815
550,41088926.80155027
553,41109576.07602316
554,41341864.49973775
556,41004009.568166934
559,41745995.25971729
560,42579758.30507054
562,40445263.36275923
565,42129153.1448625
566,42119100.045296885
568,41665137.93804785
571,43182142.683308564
572,41222865.0052761
574,41192680.661703445
577,41931208.70462123
578,41715130.643489376
580,41441663.55170167
583,41482599.33195904
584,40772561.98130595
586,41366558.11219726
589,42420095.77466681
590,41530789.18460985
592,41323689.025352955
595,41512530.06818721
596,41678996.157680914
598,42613202.327403575
601,42274639.26292519
602,42418840.746172935
604,41842252.44140113
607,42642810.21135594
608,43069335.84903935
610,43256302.63728995
613,42770056.417208716
614,42130430.29975589
616,41977031.79066962
619,43351010.92952735
620,43178991.40118634
622,42767215.76435037
625,42824465.88263002
626,43271745.81488836
628,43014403.012422964
631,43717213.00234528
632,42806556.800544776
634,43657157.36276892
637,42715837.416549176
638,44747248.16819151
640,44377125.816031046
643,43826873.4682089
644,45424591.79562772
646,43908186.77360797
649,45009501.019284844
650,44046137.533066824
652,44932255.24503492
655,43774746.88914392
656,44595368.99556583
658,44626550.696183644
661,43914818.08144082
662,43730043.19634276
664,43665837.33734171
667,43767254.42292465
668,43176597.10341262
670,45628141.063538544
673,46696063.2684274
674,45080670.10084872
676,44734291.70358122
679,45493333.131683275
680,45685491.64760135
682,45337108.625862576
685,45431243.819203645
686,42210051.028275646
688,42250954.68097766
691,42497882.80553311
692,42454539.50528099
694,41751776.12088477
697,42320270.05239565
698,41909819.84453861
700,42077743.74246202
703,49050719.937478274
704,48454485.71265455
706,48061195.5141744
709,48666063.28668885
710,48493274.39743242
712,48919308.84055263
715,48644948.81882828
716,48407972.94539276
718,43057885.308447674
721,42735872.59325403
722,43910994.78692775
724,42634945.151901826
727,43348363.099811405
728,42301889.613816224
730,43820038.0017604
733,42411965.85797736
734,41603538.79772048
736,42527176.222902775
739,42769202.96737876
740,43345231.5139162
742,43343885.444588065
745,43277828.341412164
746,42908467.27463819
748,42377874.429809794
751,42552801.92096322
752,42302482.975024395
754,43000427.01947031
757,41801375.21533236
758,42383815.4924215
760,42670240.17448453
763,42527976.89466664
764,43384240.03910544
766,42823074.11968306
769,43035979.641822025
770,43946625.52772531
772,42863915.776508324
775,42569945.068600915
776,41669586.09500551
778,42381809.54955429
781,42111737.84934973
782,43272511.63542888
784,44985856.82247341
787,43535398.0458779
788,43461779.06077883
790,43152979.314289294
793,43643757.86553789
794,42083349.40938644
796,45159594.17484497
799,42638075.15724414
800,43078338.00378265
802,43489656.88480683
805,43280633.24461968
806,42964424.627530456
808,44164859.78819355
811,44179360.15287182
812,43014824.46476911
814,41330111.04264814
817,41206308.513571315
818,41313755.15262609
820,41226751.13854559
823,41657839.578176625
824,41858196.52831429
826,40608760.67064659
829,42396197.94350133
830,43631328.00682029
832,42960037.54723095
835,43912649.40392109
836,43393262.21543179
838,42627721.79223836
841,43119728.260640375
842,43306915.84759459
844,42716398.639209844
847,43270548.19627958
848,43529458.20406881
850,42504498.450143665
853,42822620.79527921
854,43290055.07355804
856,42647070.24908772
859,44126396.25304931
860,42760446.11339945
862,42525841.38816498
865,42607793.743729174
866,43873121.85505392
868,43520618.678739235
871,43141254.28832861
872,43203151.86362475
874,42909444.56200415
877,42643679.4870595
878,43688645.96169479
880,42531415.54059495
883,42763244.08790418
884,42100609.57529498
886,42235815.58210122
889,42721376.294100076
890,42819669.66593645
892,42309357.202547975
895,45400935.55355907
896,45362730.91792266
898,46062122.28857961
901,45063172.30125491
902,45312086.501125194
904,45149848.33527539
907,45057591.319912
908,45431122.02838895
910,41966848.57312537
913,40559044.65595108
914,42267489.14740223
916,42472461.46715083
919,43002721.20040223
920,44391796.118571594
922,41122538.529610194
925,43335480.37481004
926,42194061.883394584
928,42059010.82345933
931,41652230.43109156
