,985999531.5957658
1,41364187.6262097
2,41673387.949849755
4,41570444.34282773
7,41734757.314898595
8,41986772.1738744
10,41301519.176774755
13,41420915.4739843
14,42022737.199341595
16,41654280.40843428
19,41928163.18535417
20,41769327.01548457
22,41871482.50896481
25,41954918.513262935
26,41616838.01917443
28,41626017.30854161
31,42647273.68883496
32,41867114.871754654
34,42475050.37303808
37,42665830.708980694
38,42209415.42054131
40,42167147.63563431
43,41079812.66919018
44,42914748.544625916
46,42180701.77781252
49,42677099.8304033
50,42376574.72392871
52,42669591.66585867
55,42568454.42812575
56,42840922.64982589
58,41723634.937783584
61,42299756.978859894
62,43614177.75578025
64,43285455.50682325
67,43369571.84582613
68,42208423.737927355
70,44138538.18844332
73,44212947.79408698
74,44319310.388159625
76,43240677.29025445
79,42983960.56497883
80,43490382.28482569
82,43809550.74733101
85,43294870.98819664
86,43672237.040272176
88,43447372.99697585
91,43318077.51938127
92,43359923.226842
94,41709418.07894278
97,41822364.96828093
98,41854827.321728945
100,41869955.46730381
103,42776693.36184969
104,41978832.21826355
106,42105726.5101705
109,42603026.916167855
110,41859641.30311037
112,41674748.12895175
115,42220495.84414475
116,41699675.9445889
118,41819777.9125497
121,41288796.4405277
122,42653547.326619454
124,42612960.99857994
127,43417035.007555634
128,43282632.55778298
130,42484517.644914016
133,44139634.01504772
134,42422153.446363635
136,43768806.56587521
139,43040305.863151304
140,43206099.278493285
142,43609037.36807697
145,43526957.609945476
146,43129147.595454305
148,42788044.497875035
151,42882622.943376906
152,43623676.65027334
154,43286662.99187205
157,43950217.68133253
158,42714564.21912042
160,42781409.64363288
163,42352008.74211678
164,42759465.00997698
166,42592068.49554907
169,42547978.35616387
170,43116218.6058087
172,43498393.45137755
175,43044675.130388945
176,42377854.30735468
178,42956820.65714358
181,42133450.00615539
182,42619758.47421981
184,43567262.15761281
187,43481647.92914754
188,43194768.57889633
190,43510780.451501384
193,43103260.535161294
194,43212932.92533718
196,43632060.21209743
199,42976638.880232185
200,43045602.835963205
202,43067869.06991329
205,42750630.27356688
206,43346733.349611394
208,42777770.713244565
211,42872308.22704521
212,42820497.367664814
214,43447491.16952368
217,42604923.750123285
218,42972986.0038005
220,43495263.39112781
223,49827630.84436907
224,50358335.25876336
226,49196559.42870732
229,49910257.5128796
230,49793753.84615843
232,49905852.36755404
235,49809528.28588358
236,48560107.99302379
238,49814899.30854452
241,50098840.631590016
242,50154449.87320871
244,49733049.02923471
247,49089062.35374794
248,49695273.883924045
250,48563184.37968184
253,49845309.12418946
254,41842576.445593946
256,41508377.200480126
259,41475635.85230868
260,41923541.41349859
262,41610333.51413219
265,42128235.563858144
266,41369631.4510842
268,41717928.82546818
271,42361967.78203704
272,41823310.83818435
274,41355344.59104413
277,41512505.896369845
278,41608308.46639257
280,41921260.47719505
283,42086571.02838837
284,41831024.89936933
286,42729414.047660924
289,44115891.60226318
290,43535282.32956241
292,44049433.285465166
295,42810441.09196507
296,42745252.54823962
298,42908926.645082526
301,43207154.2882523
302,42659218.84468581
304,43105684.46447734
307,42500893.55561538
308,43089337.322651796
310,43364536.44901317
313,42964873.25473638
314,42680783.056104675
316,43351921.57674138
319,40385947.58980898
320,38887070.40157908
322,38735585.75454992
325,38992973.81386147
326,40396911.21365331
328,38961793.39224199
331,40122172.014498256
332,39877451.765099175
334,39547642.95126198
337,39430308.14290579
338,39063938.85513029
340,38457614.630429216
343,41103799.95859098
344,38472385.72264041
346,39860457.03704528
349,39465967.78010886
350,42408004.68644758
352,42494178.968173966
355,41898800.36092521
356,42781027.64998728
358,41925298.7702476
361,42161893.771861546
362,42101090.307503246
364,42524417.894911356
367,42101880.51412524
368,41577325.86550235
370,42512111.855068505
373,42078735.36270082
374,43193581.6979505
376,41955528.494395904
379,42935111.27167465
380,42198327.45930168
382,46044328.24936777
385,45096490.559352465
386,45469372.47464404
388,44806358.83451921
391,44668233.32030425
392,46102538.25486004
394,44947507.08233432
397,44728622.44547525
398,45003747.3684411
400,45825802.24186961
403,46144008.25355803
404,45457296.03374871
406,45532895.634136975
409,45006564.08961389
410,45236493.91967173
412,45459875.49718024
415,50877282.44271823
