,996058228.9665772
1,41821829.846043155
2,42563448.578791894
4,42344857.40475889
7,42105129.798031434
8,42654481.39287053
10,42277526.760329895
13,41910552.7642615
14,42120083.7655527
16,42356500.65490257
19,42311704.216388986
20,42077199.30731168
22,41919126.61008029
25,42131512.30324968
26,42126032.18216165
28,42391486.49261543
31,42108366.11044987
32,41704374.62852713
34,42121338.572866514
37,42028289.13646003
38,42600382.63858888
40,41796753.06275812
43,41668358.10709533
44,41984183.49508486
46,41792513.84135694
49,42599091.10028341
50,42081152.77176821
52,42070729.743802704
55,42325272.12813798
56,42517908.229748555
58,41509163.833344854
61,42200637.22433048
62,41649439.660504155
64,41767309.68519208
67,42047630.566785425
68,42320088.569757804
70,42491955.29159363
73,42234573.87173876
74,42232480.80649558
76,42534155.836922795
79,42041513.70946992
80,42003557.61903316
82,42566840.627450176
85,42202055.77273594
86,42162843.96841471
88,42403732.07126494
91,42107486.21457549
92,41751279.55537258
94,42004250.35212306
97,42441665.57757437
98,41888366.69189343
100,42076703.14737667
103,42151121.69761676
104,42235757.80423432
106,42351295.93466351
109,42259858.94453499
110,42119331.38168069
112,41978335.21292122
115,42253524.39073675
116,42236086.89977815
118,42188134.95280378
121,41460937.584221184
122,42501106.533606745
124,42313322.08980369
127,41934058.676166706
128,41998446.77902877
130,42010052.52356725
133,42349214.05404983
134,42119596.50632735
136,42502426.314946875
139,42453107.62895202
140,42098325.34558026
142,42175077.004858226
145,41898505.01646367
146,42766714.65283859
148,41315288.07191286
151,42051016.49341197
152,42402459.60274312
154,42056938.07938176
157,42139948.556488544
158,42370492.79483915
160,42381335.48327373
163,42302796.622100934
164,42213872.55333492
166,42208357.058567025
169,42146795.22172236
170,41933258.05694769
172,42389293.60119588
175,42120023.0675857
176,42229264.89449625
178,42215147.28651967
181,42110335.81635445
182,41760173.051678434
184,42399197.28200704
187,41908974.82096424
188,42455350.38385184
190,42276137.14305678
193,41835945.441565566
194,42355683.38736439
196,42106312.9908666
199,42448134.83672282
200,42137010.59505825
202,41674370.23713258
205,42099187.23367976
206,41947929.604156904
208,42294904.70706227
211,42143449.95980318
212,42038155.23901632
214,42005732.11943038
217,42112684.323341735
218,42371790.65097413
220,42200004.497606955
223,41825580.06284313
224,42402036.00874954
226,41925691.31524872
229,42171922.565246195
230,42229575.68803231
232,42247400.05764837
235,42449363.30093354
236,41982631.179269694
238,42556203.45031306
241,42299278.69282491
242,42036723.91602421
244,42379986.727354795
247,42244812.508784354
248,41953300.434220694
250,41769493.8823791
253,43853866.145835765
254,44022463.68921597
256,43571724.58722416
259,43215450.91558776
260,43996694.44143797
262,43714812.00647698
265,43231294.55164253
266,43633505.16296187
268,43716129.56455902
271,44215276.929023765
272,43801566.76403799
274,43373585.49229962
277,43828187.117250904
278,43671878.462700635
280,44308366.997438066
283,43463522.99238347
284,43839190.74283918
286,43834518.313244306
289,44167110.579577565
290,44184814.7050229
292,44353970.07198026
295,44415825.665810406
296,43788778.243501544
298,43943230.0736459
301,43641491.107653454
302,43865343.459330454
304,43548246.40110019
307,43913557.53367532
308,43697618.06489649
310,43772982.78594778
313,43094316.319485806
314,43513924.714813784
316,44286076.90473358
319,44003580.41934193
320,43857299.76240762
322,44049283.02613146
325,43687972.75036095
326,43685377.786450595
328,43537964.202833205
331,43831034.96032936
332,43234967.13983051
334,43773028.539632656
337,44006638.919085965
338,43947805.212170556
340,43792480.24919334
343,44383717.33156316
344,43904145.06753882
346,43842372.23360086
349,44149281.57656523
350,43783334.687792554
352,44061757.64713603
355,44048790.50962482
356,44292018.466116026
358,43641686.529196724
361,43901988.150751404
362,43221108.8553084
364,44493434.86412733
367,43572966.076926865
368,43499860.80272232
370,43863762.34468273
373,44212719.82045994
374,44221821.54888714
376,43065752.13910942
379,44103624.682157084
380,43313938.54353957
382,44093852.14653056
385,43344571.34061876
386,43538982.975701965
388,43250747.66123833
391,43659709.74426922
392,43952678.09177646
394,43616976.32573507
397,44054403.151580565
398,43583803.150069326
400,43999455.233988345
403,43548913.54770588
404,43237887.78399737
406,44283752.95969574
409,42903905.327576846
410,43776140.766225584
412,44133716.63325419
415,44262943.17579882
416,43448831.57825203
418,44056738.66856704
421,43713361.54544426
422,43179215.9513744
424,44096665.64646073
427,43922866.59438159
428,43817315.51047135
430,43364607.63058113
433,44241233.153334536
434,44202205.32053362
436,43910459.84730181
439,43668827.883096606
440,43272280.80528613
442,43591587.86783345
445,44155572.9860661
446,44482704.561616525
448,43579039.272347614
451,43584071.918060414
452,43412679.9577703
454,43787914.38058138
457,43680072.84417369
458,44304542.75538845
460,43766697.139032334
463,44471946.738038644
464,43717392.31469977
466,43844334.19705631
469,43816592.4217248
470,43989491.10136837
472,43873988.54723278
475,44136447.35875198
476,43323288.33856234
478,43889421.63249646
481,44007237.4295317
482,43829621.23911722
484,44224013.220383644
487,43906361.74188491
488,43918182.55017133
490,43525215.9950966
493,44615354.28146955
494,43849034.313732915
496,44143223.37375825
499,44608557.36541846
500,44130814.41590552
502,44058197.00635682
505,43449242.49950803
506,41979182.568813294
508,42182572.27089996
511,42277560.60478083
512,42033400.73942397
514,41869547.63591601
517,42332869.421858
