,1150675881.3845427
1,48808472.72688167
2,48912931.65110277
4,48698320.408731125
7,48756059.973629534
8,48756278.20896061
10,48766513.281739004
13,48777436.27723904
14,48858967.66058115
16,48819661.13820217
19,48794621.045415655
20,48847020.91632801
22,48905355.1397032
25,48734367.18838893
26,48689749.97349147
28,48724950.51484168
31,48762104.49880692
32,48830345.10737072
34,48789281.338
37,48845027.57575292
38,48771861.843850784
40,48933321.74178646
43,48686727.90843063
44,48728578.01071031
46,48745624.74441896
49,48788574.88176793
50,48827726.932065606
52,48849169.11603613
55,48832288.83859407
56,48803494.8904141
58,48786444.75012033
61,48671942.225712225
62,48717404.079417236
64,48698198.352787
67,48746280.214200564
68,48691577.692362435
70,48836014.118829474
73,48946476.011251
74,48660768.332386725
76,48852822.8206185
79,48956683.9477475
80,48712412.98626259
82,48869965.539713636
85,48746069.414977364
86,48683660.381811656
88,48768763.11452924
91,48808373.71271914
92,48741776.916739255
94,48790536.72619929
97,48758548.102429345
98,48818325.89494247
100,48608836.10493936
103,48685924.655948356
104,48845823.899162196
106,48860818.21102191
109,48849485.27599998
110,48862367.64061056
112,48720831.66418891
115,48879371.94892258
116,49001997.00179486
118,48767546.14483694
121,48740272.265865736
122,49086656.841546565
124,48779306.57810389
127,48789756.54680257
128,48741436.595106706
130,48601415.884406805
133,48703352.376959026
134,48581485.60013277
136,48811433.221446924
139,48617802.20271689
140,48728088.01881754
142,48739539.39480796
145,48616784.777981736
146,48853877.656200804
148,48629436.89070346
151,48815534.3247098
152,48827886.476674184
154,48824928.984089285
157,48921948.52347546
158,48733226.702618994
160,48850952.34049438
163,48685714.23095053
164,48666259.06747177
166,48877033.22072428
169,48800544.229285404
170,48773292.448188215
172,48784712.23399238
175,48653217.833511725
176,48698870.245441385
178,49002360.31175947
181,48904814.99658854
182,48919844.48470055
184,48772439.251959994
187,48738886.42717398
188,48779377.51813591
190,48685378.291338906
193,48829634.23517184
194,48896996.64787975
196,48659409.741705865
199,45350049.50922205
200,45310861.449550964
202,45510411.02293052
205,45397718.927537434
206,45579984.28755767
208,45557824.77999062
211,45037387.02427203
212,45225167.34928745
214,45154726.57572469
217,45379892.735773556
218,45186652.71660236
220,45210263.78473113
223,45078449.31657449
224,45319291.82580371
226,45614526.18504603
229,45112732.20986592
230,45347450.30944478
232,45348124.04943666
235,45363307.2914711
236,45370665.76725504
238,45341494.4199916
241,45366274.940718636
242,45234878.929975055
244,45173627.541235134
247,45473428.68105241
248,45260800.33433116
250,45326646.176862754
253,45141751.21104714
254,45301976.45068186
256,45632209.76494203
259,45364682.74651708
260,45488313.34158115
262,45270161.58021992
265,45429625.5584768
266,45225779.717490666
268,45395574.484980345
271,45259214.89284157
272,45094909.00342482
274,45307597.883815765
277,45114001.055775404
278,45242198.763083234
280,45253483.90038172
283,45444460.41715263
284,45426716.692748405
286,45406730.01067132
289,45290626.82634479
290,45448771.49961166
292,45338725.79160667
295,45540450.1994084
296,45336301.54213403
298,45544272.072256394
301,45239904.654417805
302,45376707.81159747
304,45247871.01860808
307,45176973.32403803
308,45278609.309920296
310,45393477.02520554
313,45196444.59170317
314,45411591.173157394
316,45246640.73480924
319,45212548.88234166
320,45408408.93297819
322,45229262.076238796
325,45422025.01469154
326,45231606.023505524
328,45241245.21060627
331,45237273.5519946
332,45407333.20487598
334,45342967.23390056
337,45434741.77392499
338,45461594.6655813
340,45234695.167258486
343,45333944.66045438
344,45236497.009831436
346,45529242.930952676
349,45349333.07110738
350,45193489.704570554
352,45438441.902572304
355,45492116.35264105
356,45443509.96951402
358,45301717.38769368
361,45408642.11480813
362,45302588.760941066
364,45465436.12781442
367,45125844.3163088
368,45272155.67100228
370,45338337.753763296
373,45556134.27802364
