	518611
1	376376
64	379018
2	377049
4	378628
67	374964
68	377697
7	378245
70	377342
8	378465
10	376333
73	379029
74	375730
13	376940
76	377699
14	373133
16	379300
79	375838
80	377293
19	378324
82	379536
20	376723
22	377723
85	375160
86	375185
25	380762
88	379612
26	374604
28	381458
91	372822
92	378027
31	378227
94	378246
32	380308
34	377332
97	376162
98	376561
37	374219
100	380019
38	377246
40	380211
103	377219
104	375890
43	376834
106	372229
44	379686
46	380697
109	377889
110	375323
49	377293
112	379277
50	377995
52	378645
55	376803
56	376558
58	377480
61	377844
62	378510
