,26134890.562144212
1,1105449.3683289487
2,1109105.182045878
4,1107944.297927075
7,1106466.3964354366
8,1106493.6256542634
10,1109065.4842925924
13,1107640.3919059467
14,1112639.119996427
16,1107868.8758061072
19,1104485.908255245
20,1106902.6139627185
22,1109029.6762597275
25,1103395.9212142576
26,1108040.802228934
28,1106393.1978311585
31,1109217.2337571776
32,1110566.185542688
34,1105455.7833669076
37,1110135.5664422428
38,1108008.6624216093
40,1108154.435704138
43,1107308.0042944006
44,1108732.355571329
46,1108474.1961411985
49,1108628.5081103924
50,1109823.4396493908
52,1108955.440347748
55,1107247.4766710177
56,1110306.8655644234
58,1109442.9889524973
61,1105577.5361954686
62,1105570.931929314
64,1108222.527057063
67,1106111.1345758107
68,1109403.243537991
70,1109566.6675754925
73,1107359.6438654226
74,1105297.8130338853
76,1109833.6253791782
79,1109302.6844864872
80,1106138.0912036633
82,1109050.5681018622
85,1109215.7544445551
86,1106820.293194951
88,1107927.8498208383
91,1108955.2272854443
92,1105039.5009938893
94,1106876.3977817749
97,1107023.394602731
98,1108716.9799251803
100,1105649.358207832
103,1105914.9518340926
104,1108375.418761971
106,1108431.810972649
109,1109800.0589600864
110,1108221.655350254
112,1106753.3219409287
115,1108240.885942162
116,1107246.5913101123
118,1109301.4675827401
121,1106173.8502883262
122,1110414.7974150388
124,1107636.854926632
127,1105592.751665194
128,1107097.2521279682
130,1104537.7389201757
133,1108224.4133039198
134,1105930.903990156
136,1110278.1489154939
139,1106378.6792981857
140,1106919.407770709
142,1109610.8903025375
145,1106181.083980911
146,1110602.9976971839
148,1106020.1361627355
151,1108362.7837928596
152,1109929.9423017246
154,1109558.2347813633
157,1109478.9295151485
158,1108595.9967983782
160,1108809.6870397038
163,1105716.5961228025
164,1103902.5936821762
166,1109571.2696401696
169,1109294.6788907654
170,1107772.6571689413
172,1106635.3825792673
175,1105682.6263666516
176,1104801.6658441455
178,1110403.168755475
181,1108747.732596589
182,1106708.4409593279
184,1107248.1210562806
187,1107619.6920568799
188,1109505.1160561026
190,1109227.6268624354
193,1107857.115584825
194,1111141.4166383927
196,1106268.3772443135
199,1105743.629787044
200,1108430.6400601414
202,1107507.5827987578
205,1107138.2930238568
206,1108576.247204528
208,1110659.5096017683
211,1105690.9140305372
212,1106370.2646065229
214,1101355.9966430997
217,1105702.7533688184
218,1106863.6067310467
220,1106421.4099727918
223,1102875.1756462783
224,1111395.5046273482
226,1109491.4982535264
229,1106337.5303119584
230,1109491.8142593636
232,1106561.9911352429
235,1108711.0584033502
236,1106021.3950521243
238,1106313.169215723
241,1108679.337585086
242,1109806.245502848
244,1103841.0646907852
247,1111058.1048539816
248,1108835.346790678
250,1107712.2419857483
253,1108382.8631598724
254,1105990.7442221867
256,1106120.9440201952
259,1105502.6369821113
260,1108150.0655720648
262,1108116.9130581287
265,1107573.5553011065
266,1107936.3700188631
268,1108744.215520401
271,1109689.7820531698
272,1106671.5088718927
274,1103667.2385525547
277,1106370.6239384245
278,1107418.9119697118
280,1106515.153070811
283,1106559.2059675907
284,1110586.8450856751
286,1111796.1484361263
289,1107453.8539213755
290,1108307.8358753454
292,1109601.2100741072
295,1111041.715210597
296,1110968.1314073303
298,1109230.2069630185
301,1107110.6243518102
302,1107376.078753547
304,1109162.5209292276
307,1105651.3004990965
308,1109593.6713420225
310,1106943.95989127
313,1105289.257082344
314,1110288.6184864715
316,1105658.9874007737
319,1106627.1984309705
320,1108602.8481193576
322,1106624.6776354038
325,1108306.9722822278
326,1108452.1783349123
328,1110005.9942038166
331,1107466.9880741916
332,1108066.2490006532
334,1105613.5829091668
337,1109586.058712881
338,1107857.598748655
340,1104736.803217714
343,1108151.849661542
344,1109651.1855819195
346,1109997.5007116282
349,1103162.6599620567
350,1106751.406129757
352,1107426.764433113
355,1108437.950797458
356,1109156.7653489476
358,1107562.6581107604
361,1104709.2731673338
362,1107484.1440931389
364,1110026.4469899079
367,1106583.1998770821
368,1104786.1230631412
370,1107021.3403476283
373,1107845.5147102075
374,1106567.4816462055
