,26098264.603374526
1,1113223.2230752956
2,1104656.4247625386
4,1116386.157363877
7,1112913.0005463953
8,1119028.398902596
10,1115196.0287964204
13,1111209.679812601
14,1137047.1839434223
16,1122449.5826071599
19,1119301.7017292278
20,1109074.6197721248
22,1139286.189068507
25,1115096.8220782434
26,1164386.1551176645
28,1120450.087739461
31,1103796.9649742676
32,1099248.0249990928
34,1096145.1641512162
37,1108469.807683442
38,1124363.3783122543
40,1135133.0626584094
43,1097465.6711367946
44,1119898.9601181857
46,1228122.0487051194
49,1224789.261199568
50,1217213.4755177717
52,1228070.0285323842
55,1219396.0656311596
56,1225055.2777679302
58,1228302.8807605845
61,1220422.7139428232
62,1145263.1320718704
64,1158605.099951692
67,1154697.6309145722
68,1136321.414180734
70,1159728.8035147013
73,1144332.2273026172
74,1169324.0118785745
76,1162451.3538649292
79,1070860.5112631018
80,1077174.4360765587
82,1096286.9794399443
85,1083272.2742274913
86,1066160.7617331513
88,1078071.5719793267
91,1092395.6187414948
92,1064024.4039706122
94,1076228.2926825841
97,1091019.7304691118
98,1104493.7975171013
100,1076951.7262349215
103,1085935.541808704
104,1098026.9098273984
106,1077839.7132716058
109,1076545.7413803518
110,1126887.6143906144
112,1120858.484730598
115,1122176.9077393832
116,1113398.7412126232
118,1120215.2712441494
121,1122594.2353743364
122,1126820.3029005849
124,1127972.1393846485
127,1107351.74049541
128,1123842.7896182223
130,1105550.7064692178
133,1110815.4622425118
134,1104588.7686560184
136,1101571.3767038411
139,1091526.4976917738
140,1119636.797137682
142,1094578.0421279378
145,1104677.168435654
146,1117142.511755213
148,1113974.624788947
151,1092722.7521892036
152,1117316.1419050812
154,1108201.466994553
157,1106838.1425278385
158,1125709.3295756695
160,1126490.3184836332
163,1132323.7637118592
164,1133133.6011238962
166,1133596.694688538
169,1130021.5583626265
170,1115025.8765659952
172,1123522.6316280398
175,1153293.1530242981
176,1154866.4775245145
178,1168615.7385131505
181,1186071.5308371608
182,1146584.9370698507
184,1159776.0872805766
187,1188691.0630563733
188,1161567.62137744
190,1106434.2141772958
193,1100656.374712815
194,1126843.116955596
196,1093126.0333259874
199,1104205.9580243472
200,1092119.1137659436
202,1098885.6725128745
205,1125077.5202949014
206,1186821.7429814488
208,1171702.4199223097
211,1187321.0844637856
212,1213136.695942331
214,1183642.1642234535
217,1188030.4048737008
218,1184460.013413773
220,1201827.9806199155
223,1111767.8844200922
224,1121999.4683404963
226,1096686.1131725109
229,1106019.4823697826
230,1113811.5279385454
232,1131567.8227363601
235,1126730.2187821006
236,1105644.9541337285
238,1097351.8728356413
241,1093700.408202864
242,1095615.4018668712
244,1113394.363499732
247,1099975.8337353216
248,1120046.899385717
250,1082070.0321606197
253,1092845.0386394465
254,1102096.2265553193
256,1104870.3461391185
259,1097698.2353031856
260,1117407.8113277948
262,1111602.2324605428
265,1105692.9304552947
266,1115416.7848485094
268,1115214.7167443444
271,1090764.2974144174
272,1076826.6977812874
274,1093625.1867582581
277,1075735.7778139522
278,1079768.0850363541
280,1074073.6337537465
283,1078700.360270995
284,1077134.4071803403
286,1088298.111486715
289,1096166.959543041
290,1109932.646085484
292,1103692.8854165536
295,1106972.1887196987
296,1110690.1861945943
298,1105026.7277288744
301,1108564.888541013
302,1122662.016481123
304,1152348.9855496818
307,1142185.1621381585
308,1134032.466858892
310,1120125.852720514
