,26259663.02920798
1,1120765.8144201033
2,1116456.4327288463
4,1107579.6081626683
7,1109253.5328977825
8,1119133.551826964
10,1115228.3939987537
13,1109895.4971710064
14,1110148.4735306988
16,1112146.4159545759
19,1115355.7236622002
20,1105622.2997647924
22,1115794.1365611518
25,1119480.6409301963
26,1112209.3951365424
28,1116400.9062147052
31,1111517.7819752865
32,1105856.6742087284
34,1112831.1796400046
37,1118104.8112333722
38,1117166.0144484986
40,1111831.570590427
43,1101890.592800141
44,1115819.6448296602
46,1110697.646257595
49,1120906.0609748734
50,1114493.1353121053
52,1109322.8689258036
55,1113602.0581906256
56,1118048.433383109
58,1107536.7954483284
61,1112667.8008741178
62,1106618.934362566
64,1111141.0839149351
67,1117990.2456277427
68,1117853.6483562712
70,1126908.407059133
73,1113005.9267711618
74,1111203.9445431652
76,1114216.6692124635
79,1108369.8535448776
80,1116696.3291117835
82,1127447.3657120464
85,1111192.3795388427
86,1116252.9280637116
88,1123357.4889842907
91,1113437.9172415757
92,1101012.9307865675
94,1102125.4430259287
97,1116164.2650557498
98,1111276.1590975346
100,1113783.8447536218
103,1112008.706483928
104,1115697.0109081704
106,1111895.748791659
109,1113271.40867476
110,1115945.7129743285
112,1121485.029924398
115,1111802.3540673456
116,1114218.662565944
118,1108647.2388616179
121,1110765.608432693
122,1119945.7023008452
124,1112795.35304855
127,1109298.7739978055
128,1112334.4170022786
130,1108634.1686837978
133,1116593.4827113547
134,1108379.8584296345
136,1112585.9666781889
139,1117627.8174627658
140,1115917.9884067897
142,1109933.0693028807
145,1096551.3064704358
146,1119787.7411860984
148,1107475.7595559077
151,1103328.3480366948
152,1117312.1718675124
154,1108295.2833091505
157,1115141.8427915687
158,1119037.3362244654
160,1113058.5736174446
163,1110718.4079933432
164,1114004.7982801734
166,1117890.4545692566
169,1111384.7857333946
170,1105527.635757616
172,1116481.6831054455
175,1118111.5308806999
176,1102524.9122162694
178,1110629.7576977923
181,1118742.0079944907
182,1117098.7573419323
184,1117314.4309373589
187,1116029.739849107
188,1119773.6558943447
190,1113085.0705334262
193,1103065.6467888555
194,1122313.6997002342
196,1105124.9614874485
199,1112862.4000730973
200,1114040.102125735
202,1110205.3874107492
205,1108864.36809955
206,1113708.3793821675
208,1114414.3122463692
211,1110261.6797912293
212,1111289.6360459488
214,1110091.486823472
217,1109973.6363269584
218,1119209.2225620262
220,1106336.8509176828
223,1100320.4455523281
224,1124427.1532973165
226,1108077.018329008
229,1106125.7899423365
230,1113645.3385828247
232,1112220.1829916895
235,1117738.0408597125
236,1108939.8930067434
238,1118255.9667499075
241,1108611.5698398273
242,1104941.2516997606
244,1110883.6163312288
247,1115981.5005518512
248,1110534.0508262364
250,1107610.1094084461
253,1100583.360468518
254,1100874.471086276
256,1111760.9028842056
259,1115318.9619379074
