,25428197.27463859
1,1076705.425297223
2,1084340.6112167693
4,1072766.884366922
7,1078288.860468751
8,1083334.8069042615
10,1070936.575235558
13,1074546.93124547
14,1082364.463966647
16,1080898.0884361365
19,1075193.3032704578
20,1076632.8593061692
22,1088435.1080383705
25,1081880.1145751197
26,1080123.130397437
28,1088978.4891521682
31,1074659.859837192
32,1068013.8889480259
34,1080981.6794397307
37,1081085.6018148805
38,1085509.829214644
40,1081428.112869819
43,1072897.2580064742
44,1084666.0820505691
46,1076231.3657081742
49,1081869.6360062843
50,1079881.6385547195
52,1076749.061449117
55,1085302.5254562916
56,1081887.5579074998
58,1071478.7028080355
61,1070479.8916411623
62,1071960.429392387
64,1075481.347530627
67,1074671.8902345798
68,1078996.3854838694
70,1082507.1506883614
73,1084024.5005330383
74,1073453.1087771908
76,1083708.1878414021
79,1074581.2646691334
80,1081355.0336270863
82,1085492.162141443
85,1077154.9775947558
86,1076656.386152174
88,1080974.754547485
91,1078104.2162855729
92,1075858.8730958772
94,1072146.3152931766
97,1079229.3693549593
98,1073075.0535238944
100,1076683.8961564612
103,1074016.4540728063
104,1074910.368543511
106,1078229.739746939
109,1075397.5142602916
110,1084415.8382781297
112,1080095.1113537247
115,1084354.2712226855
116,1080008.6528580647
118,1072055.1768452823
121,1074118.3843684876
122,1086397.6388823935
124,1080120.4870307834
127,1073225.9580740198
128,1077998.2329911361
130,1072451.688895045
133,1083370.1293833426
134,1067542.1366443571
136,1080691.3012801625
139,1080585.9361257178
140,1081214.8508291463
142,1081364.7505935177
145,1070164.940108364
146,1085530.991735496
148,1071364.3898079542
151,1069215.3311656243
152,1075375.8671353795
154,1072095.1913222047
157,1084229.7081958738
158,1081035.742634719
160,1083078.4072649737
163,1078209.269960735
164,1074853.2627639123
166,1083669.8637903775
169,1081807.492456825
170,1077935.7942558846
172,1081947.0384036347
175,1078589.6645548237
176,1087937.735298221
178,1085008.515171358
181,1090388.269725557
182,1080976.2865322807
184,1075467.852326975
187,1076438.2129423958
188,1077512.1480428344
190,1074449.0126546645
193,1075845.1245842634
194,1083132.886181333
196,1078200.1891719534
199,1071655.342106805
200,1073866.0544144101
202,1085905.3778711949
205,1080301.5185603325
206,1078618.0024318034
208,1083140.010387387
211,1073210.0186313482
212,1073340.58851812
