,24889651.649425175
1,1060351.9620049482
2,1060856.382345999
4,1070423.3211798423
7,1047682.9188107235
8,1067187.2332073455
10,1047612.9605703036
13,1071130.7092196993
14,1115282.5756269302
16,1110694.7175673645
19,1112288.109629212
20,1093622.1148042688
22,1108128.6984048095
25,1107937.2633254726
26,1116204.2664597114
28,1116805.0780193687
31,1123651.5089436844
32,1113057.3557086615
34,1144718.638775978
37,1171260.0350694775
38,1145904.0020471732
40,1128722.1929524
43,1165495.8152316585
44,1141954.4336529882
46,1084031.7323359575
49,1085761.7583782233
50,1127474.3439472255
52,1145372.7251453071
55,1143900.768994693
56,1145909.0749422286
58,1137771.2903812823
61,1112877.1516856465
62,1156185.9337452152
64,1137686.035369089
67,1178169.1449767477
68,1204118.6728622725
70,1186063.473067577
73,1190656.7094834277
74,1158257.570194849
76,1182792.622421713
79,1222161.1856264758
80,1221656.0573170336
82,1244175.0078871257
85,1219199.337470943
86,1218130.0195510106
88,1233563.5716082253
91,1226794.9755916242
92,1220856.2252112916
94,1097437.8329909917
97,1114828.978536706
98,1076686.8498834446
100,1062773.390322531
103,1085388.954629024
104,1088172.530281918
106,1081235.7802834099
109,1111169.6659383804
110,1056828.1023419285
112,1067177.9003170251
115,1044300.9856736198
116,1060003.5054782035
118,1038730.1724058047
121,1064415.752319176
122,1040904.1038963053
124,1069731.0064763445
127,1033751.6745726907
128,1048975.893052766
130,1023916.1284320466
133,1037978.2526792241
134,1005509.6683797276
136,1023824.5246842513
139,1037508.5596551043
140,1047250.3895596138
142,1257064.6660663937
145,1253969.5578455236
146,1257706.043634247
148,1220909.8144579725
151,1239151.9286118816
152,1233269.8865088632
154,1259052.7030262179
157,1291496.9775944233
158,1184836.2647662968
160,1167789.7806274036
163,1208592.7576622667
164,1224338.0795700992
166,1202274.6848257415
169,1188537.7369146496
170,1200888.1273095305
172,1209228.3831087518
175,1117234.748669303
176,1144876.7253351582
178,1154477.8587416445
181,1128877.638000512
182,1140460.4865820347
184,1103667.2901450004
187,1141500.7967857341
188,1107255.3757748723
190,1194883.717829242
193,1172930.9634126148
194,1174597.216093635
196,1190815.7252159982
199,1171483.2943744613
200,1198621.563887837
202,1208830.929468034
205,1151128.5506676422
206,1222080.4671443966
208,1206779.4408599532
211,1205869.380595636
212,1191222.6776942255
214,1245143.5973817632
217,1207529.7086838195
218,1211237.8339871299
220,1245765.5779957098
223,1114109.6027653348
224,1128577.8862449836
226,1110749.7083794526
229,1083354.4768999103
230,1102135.6022162058
232,1149845.2436334528
235,1105016.8408809535
236,1058510.8490178701
238,1165640.8744470442
241,1214096.0491883885
242,1146393.0740786924
244,1194966.6324242118
247,1149428.7394649938
248,1143691.147836869
250,1158464.8011397352
253,1156710.4415042512
254,1109441.8108382933
256,1113987.9895933112
259,1128097.2894878786
260,1131316.5542152745
262,1119157.481812403
265,1115381.7921276977
266,1133317.5593040497
268,1126139.2731008742
271,1162973.1637738943
272,1121968.3270100276
274,1141989.0761997243
277,1114906.0244125482
278,1167566.0649590997
280,1133505.8043069956
283,1136483.9002046008
284,1128861.637422697
286,1192854.2865731788
289,1181814.0393534722
290,1211640.5681568796
292,1225453.1531426064
295,1174877.1038713166
296,1151691.8467723497
298,1225486.8013800373
301,1207894.3129723575
302,1109923.1822540998
304,1154146.774603789
307,1134634.0743315946
308,1123346.6287067935
310,1127973.0128852343
313,1131684.0259371551
314,1139168.6300718323
316,1124463.7762498532
319,1209260.0889685082
320,1197435.0059855154
322,1167178.684191912
325,1194736.8359465653
326,1192382.272436092
328,1199205.3329038236
331,1169545.7916815039
332,1181407.16500376
334,1031302.9592954555
337,1028605.2583235522
338,1022293.0002860812
340,1026822.1572473525
343,1035639.1103864498
344,1027620.5286415112
346,1034570.8894873941
349,1034518.564126647
350,1167189.4765133099
352,1195129.9700425991
355,1160349.4186680303
356,1187906.831371181
358,1162547.2562447877
361,1185600.8361659981
362,1161715.995941167
364,1174546.4842689964
367,1171551.1432995268
368,1167693.7945305991
370,1172218.4864197087
373,1183044.2122448043
374,1167384.5645226843
376,1160452.7191113892
379,1175230.9174796757
380,1177087.0557022574
382,1150552.7564457038
385,1140208.9433764496
386,1133221.8481812072
388,1142801.0616365322
391,1137588.5933434905
392,1148837.4807412839
394,1134358.7203231014
397,1100374.40065433
398,1151802.5519379436
400,1146998.6298638785
403,1156065.1926885117
404,1147742.0835697649
406,1148090.0601271808
409,1146892.127595837
410,1167942.3684335067
412,1161248.3546482623
415,1095149.6080570593
416,1094202.8103434874
418,1083534.1572047328
421,1101459.5251939192
422,1081013.7045375484
424,1077457.4673222122
427,1102877.9005053819
428,1087424.292851934
430,1109277.72687481
433,1082564.687069358
434,1097631.0445477057
436,1122850.960012628
439,1103965.8251089242
440,1115448.398159503
442,1104967.1522303382
445,1105488.2529696457
446,1225032.3334213346
448,1242973.6565613504
451,1234577.2032105108
452,1236062.4516942536
454,1243489.7542963298
457,1206956.1510178605
458,1210299.7689726583
460,1204978.8626286057
463,1048852.1486594952
464,1096289.4346217944
466,1058687.742927728
469,1053957.288902894
470,1087579.4391205497
472,1055349.1391925705
475,1068388.1775723456
476,1066244.8977023626
478,1040566.2624037616
481,1015053.2236602776
482,1024757.2994502942
484,1009436.2767493268
487,1043076.7107413566
488,1024314.2965240849
490,1028462.1938259029
493,1036212.0032662076
494,1118097.6502358792
496,1104977.074039802
499,1101786.0979480834
500,1105438.657547723
502,1106432.5154748915
505,1091207.5323044409
506,1094330.1368034293
508,1094570.0208816938
511,1114119.5308661046
512,1104524.6250836607
514,1130294.580744648
517,1128803.306520999
518,1139551.0468000318
520,1120238.2019522132
523,1121407.2757766016
524,1098397.310636766
526,968027.0564789085
529,989612.8016771546
530,986801.4177881286
532,986383.7909506086
535,971263.2452117571
536,971995.9955644172
538,994670.6769463739
541,962161.6465715652
542,1004935.7666778732
544,1009037.7205178069
547,1001453.4811338987
548,1041912.0334510212
550,1034034.3036400548
553,1014119.8702110512
