,981734827.3256017
1,41337559.834185176
2,41332669.404531665
4,41423491.78876283
7,41477453.475668766
8,40344861.399491385
10,42314023.31077727
13,40761463.2415523
14,42752963.92777845
16,42565816.6412201
19,42222830.384055
20,43186401.259569146
22,43271724.50863695
25,42217664.48636349
26,44683787.13064142
28,42803896.21078297
31,43399463.85395444
32,42717746.812981084
34,42874708.64174627
37,43399523.16828
38,43724899.28946472
40,43140202.75658698
43,42996478.40133521
44,43202332.55565849
46,39773350.23436937
49,39442341.73642134
50,40376303.79271643
52,39502029.952683434
55,40034698.79995515
56,39293024.16343699
58,41298925.695573956
61,39621880.66519622
62,42359276.82657098
64,42551270.49210225
67,43219172.57357189
68,40776953.703719445
70,41980331.88517823
73,42819944.40515719
74,43447099.68357391
76,42254900.26544709
79,38752505.11065063
80,38267103.33639343
82,38390971.01146013
85,38764012.77484508
86,38236131.54198171
88,38307626.21549289
91,38055536.74121251
92,38462169.90651088
94,42636053.517270155
97,42983954.07297075
98,44332338.93587031
100,42515297.116287366
103,43288014.84150309
104,44335696.8173734
106,44136307.45118053
109,44608364.30103327
110,43181835.88446709
112,42146441.47028229
115,42665391.13131465
116,43631385.36372051
118,42796831.62631991
121,42987803.41030743
122,43663316.856176406
124,43657337.08949887
127,45009438.663388364
128,44281562.326895945
130,44229465.37281671
133,43910359.279385656
134,44652209.10371762
136,44524632.48717456
139,44425891.66809665
140,45396715.07137863
142,47034301.12380322
145,48749099.01287416
146,47297418.576444656
148,47982727.52266618
151,48212791.63810727
152,47708006.84886742
154,47258987.89002268
157,47287692.1738586
158,43473506.378672384
160,43200345.60150767
163,42872610.112243764
164,42803655.868034
166,42531043.112870425
169,43009788.728297636
170,42926785.79670956
172,43844283.00885285
175,40842321.49265199
176,41847890.5807899
178,41804874.80983515
181,41020608.51898688
182,41522842.740715064
184,40236867.84813319
187,41526647.153744325
188,41375059.45733856
190,42432362.9730724
193,44425062.11661486
194,42781971.486198306
196,42842793.039352745
199,42650105.130071975
200,41222942.36923673
202,43177170.69944058
205,43785304.82005147
206,43576260.7353736
208,42309332.667731486
211,41049452.1821988
212,42819409.31158212
214,42119329.95027404
217,42657133.80505943
218,42854352.87781389
220,42313677.39176387
223,41916479.55945987
224,44047897.63457103
226,42275772.6964156
229,44293325.85044635
230,42602388.8175438
232,42965313.919936575
235,42508728.62971426
236,44582663.82078947
238,45227475.12294698
241,43935422.87525434
242,44332893.12807926
244,43964062.658771895
247,44981104.4862822
248,43980173.84686659
250,44409243.33015729
253,43155814.71051247
254,40525235.96480094
256,41398854.87367039
259,41715568.03980771
260,41586707.51530424
262,41790984.32554045
265,40813299.48484808
266,41942400.889224134
268,41170366.65452115
271,42186135.54630548
272,43078808.82624267
274,43281486.276057705
277,42974784.71951109
278,42720825.83109457
280,43538404.133403115
283,42156722.524122566
284,48791642.30604384
286,39410548.80027912
289,40681637.38826282
290,39791941.51388762
292,39372051.6956479
295,41625652.45850445
296,42584585.17731587
298,40411018.09460274
301,39780091.76785377
302,42978169.59472852
304,43677019.11289413
307,43009041.31215577
308,44414521.23311852
310,44005934.829622
313,43133504.22613753
314,44434306.96611606
316,43904297.61756799
319,44631625.263925314
320,44652438.74346086
322,44900105.4135611
325,45577270.72583759
326,44320129.331839494
328,44631572.67248422
331,44063044.34789303
332,44599116.93457562
334,45208925.29772046
337,45174265.055168465
338,44512456.43001001
340,45038565.334510796
343,45412102.42095848
344,44278888.50874388
346,45879010.96932131
349,45317069.55436065
350,42725947.2960833
352,42648153.81059894
355,42815710.25732851
356,42735205.40764284
358,42622166.01408138
361,42369448.68138344
362,42618847.56511251
364,42696279.230925575
367,43596262.43239821
368,42894913.18820759
370,42896598.573844895
373,43908137.76414626
374,44411585.362956025
376,43560834.01062603
379,43114925.6927816
380,43482308.50387174
382,41756136.132542886
385,43720030.74356425
386,43682100.78230307
388,44474567.782402396
391,42220399.61757559
392,42663826.45819999
394,43189301.38784859
397,43448392.945810094
398,43091191.14692432
400,43546325.99775319
403,43231479.70055899
404,42644471.12349054
406,43863634.398164056
409,42672545.08503907
410,42272827.09061311
412,43407940.24781287
415,43069611.2209276
416,42882361.997541636
418,43687818.17067204
421,43468600.31573248
422,42845537.17450439
424,42126138.25852897
427,44019695.663473256
428,43407411.41164738
430,42253951.742839426
433,40496466.72588092
434,41015362.18605898
436,40617884.4859003
439,40658793.96703283
440,40481819.8936439
442,41168536.48941754
445,41170939.57725438
446,41157018.82337873
448,40602747.863315806
451,40576535.07079844
452,40014811.35018729
454,42399506.49601204
457,40637535.40526017
458,41767504.76380269
460,40849039.60899798
463,40489463.44029786
464,41873616.59768923
466,42367250.60815389
469,42706625.214954816
470,42133682.41566808
472,42435548.73936927
475,41040436.56475628
476,42814030.394392036
478,41512346.32331396
481,41342840.07507471
482,40926363.755935475
484,41467633.13088617
487,41253212.76579154
488,41341888.04685772
490,41722941.44495377
493,42884591.844089106
494,40546769.12299762
496,40657922.61672362
499,40347901.2486298
500,40807473.36630723
502,40946132.50343132
505,40244563.86861049
506,40519418.0386675
508,40435327.43505941
511,42481389.781527594
512,43159739.20678117
514,42921779.7532078
517,43514402.0233971
518,43334107.05209876
520,42487459.61895132
523,44029511.61048978
524,43335686.82688619
526,40962639.05694535
529,40328503.72384818
530,41178522.74206807
532,41439868.90702573
535,40396983.72418822
536,41780182.45999442
538,41955674.69668941
541,40533249.65530333
542,41937535.69939712
544,42132373.32793277
547,42799463.87117255
548,43110399.05713114
550,43194177.38678858
553,43400297.222868256
554,42551629.11687632
556,42283055.43048762
559,41524388.44184963
560,42726936.557564
562,40235333.63561548
565,41670770.49057704
566,41233617.56093775
568,41400742.32154196
571,41403881.8966697
572,42927301.81166286
574,43535373.559714876
577,44440894.74513107
578,44583086.70455675
580,45089894.856868096
583,43821897.647438936
584,44625430.083537765
586,43308717.59461308
589,43929867.194154136
590,41580294.76510129
592,41262203.673909366
595,41553944.01107428
596,42611546.16439261
598,41357854.13189155
601,42262764.71908512
602,44052978.94087538
604,42677858.25525922
607,47278738.00738198
608,46994177.59779685
610,46703478.837224595
613,45679505.34039744
614,45437814.870900825
616,46156292.991865374
619,46996164.9089689
620,46333191.68664066
622,43790065.72119499
625,42587154.02336567
626,42443696.33325785
628,42790830.31175265
631,42403479.80021539
632,42789987.02171912
634,42135975.60160358
637,42495535.79296177
638,42792161.35125035
640,41990798.19753545
643,42719238.500243284
644,43401273.11734955
646,43269420.90264161
649,42269653.56519167
650,43406158.91832704
652,42921805.186230935
655,43038073.64535026
656,43961797.71097529
658,43406258.226585515
661,43977401.576186
662,44322820.62159931
664,43478651.0164484
667,44477324.49087141
668,43742474.965985745
670,43264302.499713846
673,44054615.409353465
674,42044576.300780684
676,42058842.04501353
679,41479155.7690316
680,41015083.983234964
682,41893199.58839843
685,42548174.95689431
686,43584688.76351462
688,44169986.35582399
691,43594925.818452135
692,44227251.03532657
694,44433249.46377103
697,44221540.22967971
698,44318069.08653591
700,44149521.91985609
703,44548160.48818742
704,44830053.2889789
706,45919343.44750802
709,45451659.370119214
710,46409011.33778139
712,44908967.10578055
715,46010501.38074155
716,44937660.42422452
718,43330481.59533622
721,42978623.906438276
722,42417656.38619593
