,976123919.6462916
1,40847616.286545865
2,40615246.04582113
4,41387484.62036482
7,41328614.09441986
8,41289482.467924535
10,41343403.45612773
13,40747753.802745745
14,42454417.03346984
16,41867943.9793118
19,42044797.2298363
20,41694305.19605846
22,42952817.627537064
25,41698600.034342244
26,42372735.28997512
28,41531006.09294552
31,42570306.22632154
32,42714948.32350908
34,41821317.169199534
37,42061964.436107896
38,42638200.84218022
40,42876446.9383762
43,41422224.84466181
44,42827400.010602355
46,46115575.013866305
49,45234252.66437585
50,45905367.89788528
52,46261032.08964315
55,45845939.33117252
56,46692630.34348359
58,46255876.18066106
61,45637643.92834161
62,41786356.75524844
64,42442682.17747735
67,42231074.57708712
68,40823064.4520065
70,41839224.90795571
73,42281529.2763103
74,42713832.87336243
76,41862246.364197545
79,43601687.62302738
80,43314982.82124801
82,42613421.69959137
85,44274820.19082522
86,41757645.591909714
88,42269660.22091825
91,42996067.78275097
92,41842452.81063261
94,44292568.51662456
97,44380955.218540125
98,44007938.86723025
100,43329658.94571645
103,44374460.339367226
104,44138703.27428561
106,45094058.11533027
109,44206896.029806174
110,42801406.50977682
112,41589453.77908272
115,42165320.58512895
116,42039709.1258367
118,42307251.59861523
121,42803547.00430752
122,43394002.169457674
124,42910129.518418245
127,43280780.60082996
128,42988059.87582281
130,41631869.232823536
133,41706541.178994104
134,41986436.10319782
136,41999906.04183651
139,40998060.801161714
140,42970022.77846597
142,43145540.178272456
145,44346143.32838682
146,43312832.535326235
148,44098616.2557722
151,44146441.23289892
152,43588237.13032971
154,43746009.871679574
157,44046779.98137773
158,42958721.144647606
160,42456572.20448569
163,43851196.86100876
164,42992124.72207412
166,44183917.05721662
169,43419609.66055991
170,42583551.94483073
172,43556251.15722778
175,44795116.65847415
176,43962862.30448944
178,44003936.45334402
181,43686352.14468761
182,44179857.68943401
184,42898162.76060682
187,45184510.84795469
188,43544371.74426205
190,40192477.97382656
193,41463982.8981819
194,39826167.0853525
196,40703394.2090932
199,40501619.26394614
200,39166174.760972515
202,40107845.53268363
205,41271130.40127276
206,43124307.79355276
208,42441648.58334291
211,41231212.434371494
212,42491644.40865407
214,42373219.522972465
217,42005593.04910675
218,43045964.253702834
220,43073640.12387834
223,45556101.36795089
224,45529274.946774654
226,45555343.23939867
229,46107744.680096336
230,44831810.00960958
232,46090751.45734367
235,44797134.97565982
236,45440596.46456642
238,44173340.00139834
241,43555782.49852911
242,43026783.06142336
244,42841088.46541792
247,44390358.460357316
248,43649500.52694744
250,43576122.44583962
253,42840132.11583052
254,49096196.03345913
256,49786525.83267187
259,50138853.0100326
260,51509531.96039512
262,49618248.94305151
265,49997191.686668724
266,49475624.27049076
268,51163130.88791653
271,43522949.96865431
272,42303539.39506488
274,43606000.94875724
277,42445789.72827037
278,42871763.105812624
280,42032521.36035579
283,42170436.03477897
284,43035108.22962694
286,41884943.01508899
289,42134008.25769188
290,42241091.5317168
292,42306298.827843875
295,43218049.29845197
296,43555802.864747494
298,41741499.10953562
301,41807320.219454184
302,45019443.4820338
304,45481962.614210695
307,44397922.76939869
308,44815773.07722031
310,45212829.18724599
313,45590046.56752813
314,45696241.90481113
316,44662990.24184628
319,43696515.0625487
320,44171772.762211695
322,43878668.61511253
325,43632594.55095616
326,43584326.88389749
328,42893582.95785473
331,43257970.149707004
332,42760585.411061935
334,38120425.718947574
337,38197808.079322994
338,38506186.671607904
340,37574691.595927104
343,38133192.56673531
344,38251045.65183587
346,39932557.98746664
349,38489249.58068268
350,43167531.08664979
352,42843243.898446664
355,42799159.630368784
356,42503218.79692429
358,42892241.59377887
361,42632570.520065226
362,42520561.730435774
364,42957268.03689329
367,44502176.87446407
368,44847046.164296806
370,43719751.00733197
373,44544723.40182594
374,45448444.5459842
376,44845382.081018016
379,43767840.259905554
380,44867378.48047841
382,43867753.67306914
385,44750709.55611165
386,44684006.7101599
388,44821850.06249905
391,43720614.96052893
392,43502776.23193404
394,44071319.26269933
397,45355162.32775488
398,42451056.98219295
400,42965786.10955107
403,41966114.71595464
404,41324882.74192217
406,42225772.75044732
409,42124538.61176752
410,41625732.23345838
412,42362317.87687668
415,46067700.10949597
416,46183304.29050038
418,45473284.06429165
421,45742695.93909176
422,46552787.92121624
424,45464262.30482182
427,47498288.46648205
428,46618669.51895323
430,42899216.73021673
433,42228037.49027288
434,42555398.22445688
436,42324565.89293498
439,43017862.24907637
440,41416184.054457664
442,42838291.38131384
445,41381965.36505631
446,42863651.29327293
448,42769491.36717795
451,42486622.31423396
452,41218422.7664785
454,43686728.80457424
457,41389991.8745321
458,43484427.710796736
460,42673396.83930841
463,43600580.05650154
464,43496178.307026215
466,43562356.560402356
469,44234106.35164685
470,44036339.52757245
472,44638441.06534085
475,44025384.82738783
476,43963023.55086176
478,41633169.78995191
481,41073942.531498015
482,41956838.08168514
484,41888042.0896209
487,42374634.13818519
488,42216970.92598092
490,42048500.354011014
493,41990195.68297379
494,39296499.098146215
496,40063507.94149277
499,40022304.974656194
500,40208491.40233461
502,39746621.95387615
505,39495708.73092408
506,39366737.17472492
508,39336275.6096423
511,40419866.982587226
512,41069931.18018687
514,41715087.40794979
517,41013135.4189587
518,42346953.85819254
520,41186867.925412625
523,41481233.953770846
524,41736371.69877978
526,42951398.26212077
529,43247380.77014005
530,41901682.012555756
532,43257428.79530835
535,44027023.81915663
536,44124855.5383188
538,43294721.95804683
541,43455464.07283373
542,44168911.74155651
544,44012861.15533417
547,43778914.249268845
548,44010598.42230253
550,42907225.96018207
553,43607784.34649383
554,43863652.73162248
556,43372669.81736837
559,38901144.90451271
560,39004482.34144093
562,38598652.65492013
565,39493842.440032795
566,39321580.0600358
568,39463617.228907324
571,40140259.56301249
572,40913731.18255449
574,41697178.41422213
577,42550134.69510572
578,41565018.7015387
580,42195948.688629486
583,40898656.23026369
584,41438717.32901319
586,41664071.14835807
589,40930948.03917623
590,42383844.09721825
592,42081753.584870934
595,41918663.4533397
596,42063767.69374531
598,42601928.121438414
601,42709808.58293571
602,43425085.14754132
604,42499272.68615039
607,41142725.91981646
608,41225268.423643075
610,41004265.34635731
613,40418527.84307205
614,40797765.20624626
616,39953254.76136057
619,41228693.716189034
620,40822500.38012795
622,40930918.748896845
625,40832886.3903051
626,42514965.522196785
628,41726331.22996522
631,41126812.73356009
632,40889870.27354444
634,40358867.9280744
637,41046470.44164723
638,46136812.90457835
640,43351169.8522642
643,43504919.31603725
644,45451210.401974835
646,44466289.14502394
649,43448831.76484889
650,44423462.24198905
652,45349678.85555553
655,41330224.01695153
656,41658164.261565804
658,42460001.76600671
661,41796792.271141484
662,42975980.57526745
664,43152976.005886175
667,42160044.63306731
668,42479754.96057605
670,43945047.635385886
673,43650262.882382095
674,42553102.21109098
676,42818367.36877376
679,43345433.37153059
680,43772302.286394626
682,43653747.295599416
685,44000983.190356374
686,43872013.396080576
688,44303117.923195675
691,44886484.93832255
692,43925781.09578206
694,42867219.4260473
697,44966472.018257275
698,44786980.5209332
700,43854579.39646044
703,43074634.12609158
704,42373781.08050423
706,44175866.52564855
709,43973219.90061379
710,43487969.97499365
712,43267773.18890957
715,43180790.039095804
716,44235483.22695712
718,42459181.280896425
721,42240342.427189164
722,42188895.56987978
724,41372529.92645592
727,42011913.04771721
728,42601309.96813667
730,42983052.25796958
733,42216770.34051418
734,40698232.67004817
736,39413278.61641283
739,39767333.114807636
740,41272762.738836356
742,40452222.40424704
745,40452535.49844503
746,39690227.938457444
748,40501030.23033038
751,42096836.055099
752,42350772.88501943
754,42438229.75075469
757,42398197.1776676
758,43051320.832835935
760,41995727.26369234
763,42859482.74544052
764,43488317.036534384
766,44542835.42329049
769,43687654.27799054
770,44574566.46818084
772,44805181.021516725
775,43311803.347358435
776,43001337.27505643
778,43864866.62886605
781,43840323.319882065
782,42961947.00392389
784,42860964.81423364
787,42467821.864484824
788,41699904.68084491
790,42532610.45499689
793,42257272.81616774
794,42364348.98285986
796,41361026.515458226
799,42032887.28488376
800,40579664.344150946
802,41378645.02846721
805,41869338.58103382
806,42392034.69038647
808,42519479.43477716
811,42342466.33886367
812,41614401.78589892
814,41129637.94006279
817,41406588.136886
818,40719493.28127865
820,42303236.51672044
823,40862614.14600806
824,42046331.462052025
826,40877818.796937145
829,43846214.89690369
830,42362853.182637
832,42015716.362795375
835,43358615.30597203
836,41799098.73979979
838,41749714.34115194
841,40817493.113348395
842,40995023.2541391
844,42830644.575226754
847,41586767.01364989
848,41292434.52601304
850,41691391.29969042
853,41048082.79729036
854,42041165.93843131
856,40885240.71242251
859,41225109.24717418
860,40120383.1687674
