,1015518923.8197396
1,43012238.133859575
2,43122007.716404065
4,42986266.44176265
7,42926096.767770186
8,43058556.157377176
10,42971745.74538235
13,43075623.90846748
14,43147954.2749534
16,43102533.15272612
19,43060286.95644411
20,43129087.73398879
22,43150161.49518333
25,43069808.962170266
26,43043578.67539654
28,43035077.853078954
31,43036512.63406615
32,43021287.1031693
34,43107773.697210155
37,43081339.9424341
38,42998201.730965555
40,43114615.90164144
43,43053793.15596367
44,43023151.934236735
46,43104691.30039145
49,43037588.85787203
50,43181812.32009673
52,43184789.23044076
55,43001545.186084606
56,43068522.58025637
58,43130805.16408489
61,42948779.09398372
62,42949890.388262644
64,43010605.76883419
67,43088008.703547
68,42963669.10787874
70,43089793.3785402
73,43012063.68678493
74,42970971.85003746
76,43139198.09642955
79,43068243.23776169
80,42997440.667243175
82,43132396.901696995
85,42980195.769261315
86,43058056.141443096
88,43108154.52070033
91,43118882.75685563
92,42880604.72084764
94,43023903.4567023
97,43009495.25477456
98,43156132.9368435
100,42859588.41085958
103,42998234.5438395
104,43118758.48609963
106,43167245.77610974
109,43199107.724093534
110,43079630.88052592
112,42948106.50148339
115,43070557.12206594
116,43224251.175568365
118,43020465.29515685
121,42948296.09612254
122,43219435.84967403
124,43032623.79918336
127,43065687.79222965
128,42970315.359063
130,42847557.365348205
133,42933663.2667788
134,42834908.8572602
136,43039093.74861198
139,42911650.93998019
140,43047113.016392976
142,43001689.9466088
145,42939722.833087355
146,43140264.248817496
148,43029081.58440254
151,43033580.11293941
152,43045517.196480624
154,43036198.71578986
157,43209039.25245659
158,42998499.0421301
160,43002422.8537595
163,42927979.148296125
164,42944154.39129241
166,43152576.66232117
169,43087154.65042338
170,43003040.026761256
172,43015923.107045114
175,42939764.83558289
176,42940892.92853147
178,43218826.98008526
181,43162410.10669829
182,43140242.53377121
184,42941117.689005695
187,42988872.771967635
188,42971499.343460135
190,42919438.572865635
193,43131426.38355018
194,43219598.79063677
196,42956996.25978111
199,40295227.26576533
200,40452615.28005924
202,40371828.94615482
205,40572966.63086526
206,40444388.61222173
208,40339148.61639378
211,40345502.214279234
212,40346299.62074294
214,40313012.958956696
217,40267314.19844709
218,40402485.70669779
220,40445926.02130841
223,40303800.60490337
224,40519635.00124359
226,40310650.581346944
229,40544741.61047487
230,40449176.39777552
232,40377678.99775753
235,40458712.33006146
236,40363211.54286845
238,40325317.60054101
241,40425636.13390903
242,40502746.29841196
244,40312403.84580847
247,40491350.06973642
248,40542213.82652207
250,40432491.70126072
253,40527817.78953205
254,40362674.07706522
256,40364829.37764231
259,40412488.13040966
260,40450751.8630965
262,40389764.43180249
265,40447151.97578016
266,40454095.3566473
268,40628129.00203464
271,40396520.01303824
272,40445373.690490216
274,40298126.2406472
277,40302165.5774216
278,40339673.281102
280,40440047.90426098
283,40392498.039447114
284,40429500.8818035
286,40552667.846537456
289,40462577.90490946
290,40443370.73620112
292,40420904.237438746
295,40432963.692058824
296,40459817.148298346
298,40463846.79640518
301,40498310.23152029
302,40450174.753651544
304,40590591.188679576
307,40475017.051759504
308,40385105.94094803
310,40326628.861068346
313,40473835.69418571
314,40553370.34859347
316,40404126.9074685
319,40524482.75639221
320,40389046.2760482
322,40558812.80419994
325,40622106.2028992
326,40535099.02474917
328,40533574.77848762
331,40340321.61979599
332,40393907.90653357
334,40482716.5399553
337,40574175.20651828
338,40320133.34958672
340,40265723.15499734
343,40543674.251548946
344,40477766.605953574
346,40414000.68263899
349,40256651.41986322
350,40630885.79059495
352,40473215.95179474
355,40386043.47951637
356,40478625.56137963
358,40417214.88244608
361,40269487.88466693
362,40357475.09753823
364,40453445.61329861
367,40332480.62727681
368,40413556.576443724
370,40375203.56029418
373,40609187.84396221
374,40658963.18465567
376,40263524.98379095
379,40396164.736174375
380,40371356.10092103
382,40284459.42378953
385,40329805.113501765
386,40375948.2318506
388,40477733.34314388
391,40294546.17395832
392,40421732.37152482
394,40385439.04719099
397,40434441.478236824
398,44226796.71166811
400,44292737.257982485
403,44167852.04125246
404,44169279.05657197
406,44340647.39699203
409,44199816.86190606
410,44125704.08655699
412,44225230.02536879
415,44209448.873414256
416,44214794.67576814
418,44364396.47425543
421,44120262.06595764
422,44165938.53702228
424,44228434.968695894
427,44262512.2978982
428,44218877.721701466
430,44170075.77710516
433,44290458.500876196
434,44246612.94343227
436,44179368.98153288
439,44204860.70458273
440,44185643.46130346
442,44138935.7296294
445,44299919.47840822
446,44299141.3913543
448,44210246.20565771
451,44229226.94211225
452,44226873.04344243
454,44052966.328699544
457,44218237.03648577
458,44285944.705674976
460,44245666.46356854
463,44193329.8525565
464,44311684.56784915
466,44165923.34579081
469,44111000.57672815
470,44283205.86564223
472,44240046.03301806
475,44193637.3756637
476,44254866.1215754
478,44218520.76722343
481,44307522.53133573
482,44260602.893763505
484,44236370.35680015
487,44311026.63932528
488,44102182.77609848
490,44239407.6702834
493,44323109.970441595
494,44262330.667177334
496,44153342.181289546
499,44198388.156673245
500,44298823.9926288
502,44297609.40289868
505,44167639.35904777
506,44160549.59747664
508,44304326.22036686
511,44245598.60851128
512,44170037.18714924
514,44234298.05528777
517,44273762.98409512
518,44209163.753402025
520,44243189.5295017
523,44279904.98175958
524,44200700.89819731
526,44231515.94031483
529,44387834.27285467
530,44039021.429016955
532,44288388.535347305
535,44197207.035307966
536,44225867.88537261
538,44210408.22502599
541,44140008.12920904
542,44187235.27829639
544,44066209.315757394
547,44286469.11945242
548,44372105.81734382
550,44261236.82491795
553,44240825.200331904
554,44233251.73160178
556,44079286.61725263
559,44108158.2593293
560,44211001.27101856
562,44165353.89088944
565,44211586.33484898
566,44194061.26720245
568,44235793.66128143
571,44316143.40991103
572,44210186.37409933
574,44316359.61674003
577,44223879.09162725
578,44282818.61477736
580,44362823.52706092
583,44266961.7338687
584,44229153.441828385
586,44264955.627516516
589,44210197.467479
590,44343396.44818274
592,44253145.3754268
595,44125386.39046068
596,44199964.63996179
598,39068906.92698643
601,39084308.35903921
602,39265357.87812436
604,39249903.67902636
607,39097670.53423515
608,39129839.26615043
610,39215219.310769595
613,39126685.81624921
614,39118275.70936323
616,39248390.33179619
619,39050850.43386712
620,39169403.08467036
622,39264571.808255196
625,39191000.36165071
626,39106265.309273675
628,39215832.47777694
631,39121991.66776229
632,39209373.609246016
634,39092877.67385507
637,39156313.87352399
638,39195665.929863825
640,39094177.47877395
643,39189995.29463408
644,39182493.0079006
646,39198993.54523594
649,39036803.533937685
650,39278213.606381826
652,39069140.2374297
655,39038656.788194306
656,39203398.55736326
658,39013440.190651484
661,39236517.964585975
662,39131316.163031444
664,39151081.43644008
667,39281592.92077326
668,39225116.9417273
