,999460629.8516632
1,42479218.54471245
2,42782005.95527815
4,42212737.98009531
7,42221556.62978037
8,42893195.11780982
10,42546288.91536111
13,42197020.09444467
14,42434606.72721086
16,42492534.55542453
19,42419374.809203655
20,42111015.0200285
22,42516668.749975145
25,42768573.96490721
26,42591035.180318065
28,42628564.30840118
31,42300542.109729595
32,42068717.12562569
34,42465816.42211677
37,42275884.55094388
38,42644947.063527964
40,42369112.82827975
43,41826960.91032694
44,42430542.59303064
46,42127960.76209214
49,42776226.26305179
50,42443701.67792867
52,42473306.878017835
55,42558960.9856462
56,42717508.668064035
58,42271624.287658565
61,42577818.13443607
62,41928555.845896654
64,42323779.40151723
67,42301856.258712806
68,42746983.281079285
70,42897590.84114827
73,42426702.22279382
74,42411716.76187759
76,42491738.301913716
79,42350489.34180269
80,42565492.14948791
82,42985769.46401277
85,42416448.547144294
86,42486462.344029695
88,42815541.71022315
91,42580871.482290536
92,41703963.406576805
94,42100838.90161345
97,42771979.998575024
98,42297992.08871159
100,42580214.822877236
103,42273473.98421088
104,42347926.502932884
106,42441893.10299591
109,42643982.90083362
110,42389649.873480864
112,42382575.152495734
115,42451079.87025213
116,42447452.894829616
118,42332784.65596997
121,41870205.15684505
122,42904929.464928776
124,42483125.87719059
127,42031514.64903146
128,42221260.28768482
130,42020617.33910803
133,42332195.11894985
134,42261783.222958125
136,42511872.336932875
139,42739176.21202276
140,42497429.81109161
142,42348517.89146859
145,41958055.63255828
146,42705129.699046426
148,41574311.809297614
151,42143796.17205402
152,42793319.705264896
154,42298188.74710984
157,42234466.10428684
158,42686873.33597767
160,42558207.31595697
163,42357354.03185652
164,42594133.86487906
166,42440332.87404624
169,42227941.512351036
170,42284699.00608264
172,42616497.77528218
175,42748179.27086417
176,42233608.12079399
178,42483075.65834221
181,42446179.178236745
182,42208223.147812374
184,42406003.41195258
187,42216164.94417459
188,42729950.11573692
190,42554429.443813644
193,42140386.140564896
194,42779000.17917958
196,41930713.67951969
199,42477136.143685296
200,42395739.23443208
202,41959798.143661305
205,42342060.33990912
206,42394595.65468537
208,42507910.92537665
211,42487172.75499127
212,42190083.67958523
214,42356340.292847015
217,42382731.21138309
218,42761795.02224965
220,42230309.16322012
223,42063271.7471106
224,42729064.867712736
226,42165186.82013056
229,42094586.14615648
230,42590556.25447236
232,42449764.236157835
235,42596206.122099645
236,42068111.70974689
238,42827420.60014894
241,42303549.40457349
242,42102522.90255685
244,42396837.14423081
247,42566137.0683655
248,42309149.67143192
