,966903529.137609
1,40650301.42983324
2,41435177.515179224
4,41325036.7195094
7,41047091.35685947
8,41478935.61549669
10,41115463.75538812
13,40505076.666202985
14,41013946.354440406
16,41498530.29454303
19,41354656.18790271
20,41197880.41597427
22,41195016.497170344
25,40830540.74213416
26,41201091.87706427
28,41632217.554553114
31,40836911.06020563
32,40806884.589616224
34,41176566.17207275
37,40989088.855273
38,41689524.02794284
40,40900183.99309044
43,40503494.24954357
44,41372649.14743038
46,40840773.846732154
49,41392233.55328986
50,40787571.813566096
52,40532046.162043475
55,41456286.79498104
56,41450009.71789031
58,40375528.50982667
61,40970756.51490497
62,40230184.70562887
64,40615390.953202665
67,40656713.25667988
68,40892434.65533185
70,41049624.360443175
73,40976298.521344505
74,41083523.90691587
76,41459389.01232684
79,40760939.27931995
80,40300136.5722917
82,41017192.25603204
85,40726545.072044864
86,40935185.48338187
88,41118217.60990955
91,41131419.02572584
92,40405953.68248795
94,40463972.24113989
97,41373701.96333467
98,40758851.83595402
100,40852813.92039482
103,40808478.03707418
104,41218477.45013409
106,41402887.9170089
109,40900149.49036536
110,41022882.28995691
112,40469319.02392022
115,41513419.148616776
116,40911121.628493324
118,41102910.85183129
121,40594086.01998918
122,41562646.105878964
124,41346183.41950361
127,40671370.289497316
128,40902788.482735515
130,40501828.66144508
133,41326595.30408687
134,40969816.74247716
136,41614307.71974904
139,41219069.160116605
140,41197760.70457764
142,40655873.97019476
145,40636891.56731608
146,41733423.61682388
148,40405165.97493623
151,40916452.788571954
152,41162383.480383925
154,40985692.47368217
157,40833330.25417546
158,41419383.161892906
160,41560515.840211056
163,41165103.28829802
164,41328305.64355408
166,41334129.39979649
169,41315914.469572954
170,41255753.16622909
172,41053779.79328732
175,40678389.16372381
176,41835008.805725
178,41431403.3537382
181,41513878.422748975
182,40290352.207647525
184,41190636.53068879
187,40466438.68327601
188,41386360.4435939
190,40809992.0369044
193,40580953.58405006
194,41280658.9133471
196,41166780.78253062
199,41154045.68838443
200,40663302.067211375
202,40935006.76094351
205,41136517.850553915
206,41043766.48706903
208,41198814.53923503
211,40930040.267489634
212,41088194.62236877
214,41162745.55058598
217,40863503.88925307
218,40955376.82851588
220,40952773.06929746
223,40802407.07386711
224,41412540.256377086
226,40810343.09412516
229,41630727.252933405
230,40918056.550822645
232,41098180.779622175
235,41587732.54800702
236,41413176.381725125
238,41774169.94364782
241,41806554.5699938
242,41002330.123510376
244,41387356.57830554
247,41732180.692743935
248,40827409.19363419
250,41451662.104053795
253,41965536.45282347
254,41860611.003717035
256,41430085.31297563
259,41041892.62597815
260,41972561.69192125
262,41767775.18404953
265,41510000.974243745
266,41619036.452185445
268,41763513.48521749
271,41976294.31967764
272,41618335.172093615
274,41507534.50842176
277,41839446.76907407
278,41666898.32963429
280,41512051.75235054
283,41380108.53551427
284,41809915.510739505
286,41714839.05899115
289,42130781.17090839
290,42247759.13332563
292,42244940.32190582
295,42356377.64351559
296,41570452.95655626
298,41374137.06808669
301,41520281.85856281
302,41782555.322869726
304,41423337.68393434
307,41931682.54585526
308,41475980.009181365
310,41599955.20468717
313,41424476.01941106
314,41656388.628612176
316,42370004.10571897
319,42100954.76395915
320,41589833.24841156
322,41992001.74865271
325,41570813.53905829
326,41661887.424422145
328,41524633.06093276
331,41980655.63599219
332,41200478.41664509
334,41720565.28845384
337,41801808.406265974
338,41834767.13156018
340,41709174.517176725
343,41740569.58105672
344,41671912.17077081
346,42035749.52112122
349,42109689.60679054
350,41656702.094779395
352,41760696.15680418
355,41930120.004592635
356,42027306.722521506
358,41709690.873256095
361,42104323.57120254
362,41277091.69206415
364,42444100.409688525
367,41524752.749050595
368,41740815.33403125
370,41984656.078758575
373,42368119.915984765
374,42012122.60033375
376,41215648.54677317
379,42089481.66620672
380,41640459.17758055
382,41887657.49765816
385,41236432.25980129
386,40920573.47523319
388,41342403.68907232
391,41491344.36621958
392,41614761.29107408
394,41729713.51784177
397,42076659.738562286
398,41684388.70275224
400,41685319.127242304
403,41625929.70035686
404,41074559.21223655
406,42305511.75427365
409,40780668.46867063
410,41816331.20639474
412,41960072.71167969
415,41969604.71053446
416,41580649.535816334
418,41686108.02948714
421,41725563.73150034
422,41013494.57863328
424,41602369.42488435
427,41882859.3142008
428,41762085.036494404
430,41285195.68831689
433,42284275.02514245
434,41802311.409286216
436,41852808.74709825
439,41706461.10306529
440,41352729.32953909
442,41538473.500148915
445,42062065.26827542
446,42024221.75078549
448,41704621.06413775
451,41872052.45520169
452,41067484.7658093
454,41880899.67597589
457,41377391.17588986
458,42237508.028269604
460,41930120.73124002
463,42194767.864801385
464,41363031.62834592
466,41939642.81436694
469,41887274.11405406
470,41722959.10875876
472,42049259.718875915
475,41914908.25793925
476,41109145.49727314
478,42155755.49125599
481,42275075.46888621
482,41624802.08103987
484,42033721.06810503
487,41569107.8762756
488,41972904.96014559
490,41889423.88299203
493,42272705.1014333
494,41728269.440227225
496,41715484.20021001
499,42412284.54966981
500,41792685.3749867
502,42088491.377070755
505,41699307.77100535
506,41007079.88376963
508,41082639.46897415
511,41262578.53343039
512,40897688.92939962
514,40826296.70006446
517,41565433.92871747
518,40960981.34711364
520,40996246.51400983
523,41310686.29548939
524,40892497.15038301
526,41415582.1260318
529,41302908.11948382
530,40985785.32165103
532,41087203.997361094
535,41566986.9135287
536,41018204.09851923
538,41240803.427487776
541,41439249.73510548
542,41444540.961379476
544,41026935.66029166
547,40789266.03638914
548,41584180.72017274
550,40925743.40887247
553,41387371.67194213
554,41393572.49650119
556,40868597.40658498
559,41170977.68541626
560,41120647.71071802
562,41094063.879949376
565,41152693.921012126
566,40870638.35942873
568,41016228.257756986
571,41473500.84171282
572,41264089.81688022
574,41076706.9396116
577,41212800.62586437
578,41322751.25232581
580,41400057.29551466
583,41566251.34136248
584,40770958.86646864
586,41093712.82560913
589,41691634.822307736
590,41183792.20171398
592,41157125.88997027
595,40831268.692130856
596,41068205.46843132
598,41121515.58592356
601,41142308.86860583
602,41251181.71392187
604,41449070.52059407
607,40896688.33031822
608,40745834.474949285
610,41207722.14049185
