,1056154801.5839401
1,44321605.10974601
2,44664047.85558037
4,44511668.52241024
7,44628317.328936376
8,44891575.8622543
10,44332624.67845724
13,44379554.78558415
14,44981418.36500897
16,44527678.24066625
19,45125271.83780391
20,44747394.177171305
22,44980321.16254194
25,45234915.63900306
26,44792836.94797623
28,44543326.24326053
31,41991814.6412322
32,41727245.84037655
34,42212923.376777284
37,42330514.71020515
38,42149023.64177821
40,42330121.22983994
43,42007498.95811829
44,42150344.57870871
46,41440458.28551514
49,41483895.63769157
50,41930106.57702682
52,41482085.91393835
55,42427464.419310614
56,41963418.45603835
58,41215995.55932508
61,42194030.233903445
62,41808360.770670034
64,42706040.46262761
67,42237088.206990905
68,41805250.21680081
70,42460369.96991036
73,42598727.78458705
74,42495971.84050397
76,42349085.837319344
79,41613877.061702736
80,41802093.2459655
82,42481371.07143696
85,42023155.915666446
86,41389649.41974445
88,41714383.497234374
91,42209687.553960554
92,42168563.3175534
94,41442958.23578448
97,41469159.283668734
98,41999629.69125002
100,41323724.195194244
103,42617948.04885266
104,41166513.03441162
106,41868932.64960228
109,42358000.29101723
110,41712339.70590909
112,41791372.43402814
115,42756463.71112428
116,41254443.1226044
118,41608501.57106063
121,41557625.616125844
122,42188030.87755851
124,42291633.11508856
127,42388495.42012939
128,43291330.9432334
130,42876294.66688081
133,43427272.72427218
134,42314699.58953727
136,43081625.59894403
139,42659897.8193204
140,43044663.46591153
142,42803416.69062939
145,42890454.741745554
146,42746904.535345964
148,42599578.01416228
151,42281202.54588117
152,42295189.260686345
154,42702415.83376705
157,42284010.00986542
158,42051123.117880166
160,41302720.00245946
163,41688957.55333341
164,41693567.26315104
166,42206805.22443696
169,42011665.956167415
170,41939384.43702601
172,42493848.545950145
175,42272496.288341425
176,42373794.384545654
178,42443975.61320267
181,42334252.174542084
182,42279391.39054593
184,42104762.567373544
187,42036675.21479295
188,41920034.04804601
190,43431085.78081022
193,43144214.95166749
194,44082936.513105586
196,43313058.44757127
199,43181737.189980835
200,42935735.58535538
202,43690969.51746968
205,43713790.35938319
206,43869585.24445984
208,43436801.758051075
211,43464869.24614737
212,43677061.25034439
214,43285604.807840824
217,42677455.43786719
218,42647414.41449151
220,43603645.086594604
223,48357831.57412475
224,48906240.30980051
226,48403312.78703268
229,48666222.40150171
230,48547900.232967034
232,48955355.81238961
235,48488157.3329045
236,48509110.11290144
238,49239510.73523665
241,48582208.299238555
242,48669671.081416294
244,48988446.17764165
247,48619926.85084185
248,49042841.08627308
250,48378852.21244361
253,48511143.96335263
254,42345163.32906687
256,41346237.403453745
259,41610117.400888
260,41908706.82046821
262,42231956.798169784
265,42534583.39745581
266,42100393.22299282
268,41846332.436341934
271,42493914.77947544
272,41870372.84991405
274,41543894.46772606
277,41938262.25835371
278,42506976.93206486
280,42309718.04207393
283,42436664.54664463
284,41998035.38284306
286,41695179.77002258
289,42106793.38156314
290,42612828.482014105
292,42666278.881134905
295,41386110.75008493
296,42485643.25668988
298,41413583.20215635
301,41250688.92906528
302,41057559.26687907
304,41562283.11613321
307,42187158.628731556
308,41615764.898810364
310,42449116.05488328
313,41863271.437041245
314,40451985.090757936
316,42273478.93001175
319,44416524.843486816
320,42985279.739841744
322,42955614.61429975
325,42932770.02695887
326,44462776.69394392
328,42913739.86266687
331,43668058.424376145
332,43577464.77814073
334,43620453.50224218
337,43538360.63420006
338,44027558.712196946
340,43646902.93341719
343,44620687.614425376
344,43121540.36511949
346,44547947.804091506
349,44265244.37003084
350,41682497.65507837
352,42062799.78100973
355,41782559.44317425
356,42098790.38219147
358,41912692.12024502
361,41982935.01777308
362,41226916.13368778
364,41819482.86556518
367,41695242.10419453
368,41794311.36533362
370,42020879.898399875
373,42205124.73453369
374,42444948.498736836
376,41495812.454140365
379,42360952.00280986
380,42182874.174110614
382,48048907.98138164
385,47708578.06837649
386,47668184.451314434
388,48011608.9354761
391,47553666.26161699
392,47688705.27639529
394,49062828.71194999
397,47307213.16104315
398,48215434.56114078
400,47842841.35235412
403,48498100.514739156
404,47514895.26504317
406,48267912.81246232
409,47444281.83923732
410,47456710.11586389
412,47617566.00908858
415,43176503.330658816
416,43488270.3772907
418,43507945.48064501
421,43178528.72814064
422,43050080.92243715
424,43308893.26234584
427,43379863.852411956
428,43303087.044247806
430,43017127.01533851
433,43511086.62202398
434,43383254.71196613
436,43334238.60877767
439,43429098.42906125
440,43295381.361034974
442,42871650.64270961
445,43745041.32741104
446,42495370.96993844
448,41623922.95740491
451,42575339.89903147
452,41050504.510634325
454,41871133.33597072
457,42161185.73849589
458,42215885.630639754
460,42255142.30592742
463,42162355.90681785
464,42436683.361330956
466,42185994.77369833
469,41678448.835249044
470,41848940.23967522
472,41775441.373006515
475,42339353.71832902
476,40960642.5524558
478,44659904.674080126
481,44930372.37112824
482,43853634.716098346
484,44483442.17020136
487,44475663.27165514
488,44739002.36781354
490,44115260.951943114
493,44896894.34120317
494,44199238.227294005
496,44724689.88189998
499,44296877.407149315
500,44646614.75495112
502,44521602.32305582
505,44266280.060826406
506,44237533.488522135
508,44496234.56664294
511,41591476.57394512
512,41445032.57627247
514,41868184.43865132
517,41667879.990073696
518,41213444.36981452
520,41955705.18598136
523,41281108.91640454
524,41446257.55542573
526,41801527.43495143
529,41452271.486954495
530,41151808.62849178
532,41607212.82083181
535,42271801.40165309
536,40865370.913754195
538,41718051.86190242
541,41164815.0651348
542,42493574.44544296
544,41589705.32919762
547,40389440.214707725
548,40959089.47231048
550,41485700.536259755
553,41902563.31752186
554,42283402.747957855
556,40470937.54531234
559,42326455.53081325
560,41454279.41449888
562,40986732.5556514
565,41536826.728276946
566,42017207.46125451
568,40960131.766237654
571,42494690.2265935
572,41726308.84414255
574,43080467.6654219
577,43119669.55787517
578,43386167.061298594
580,44217682.100898236
583,44148373.89340055
584,43506468.00858642
586,43587265.51765215
589,43178053.64676695
590,42926385.21862416
592,43456308.74103864
595,42970893.41381345
596,42984435.79675482
598,43084216.122737914
601,43340884.454130016
602,43669761.11618965
604,43140130.307016306
607,42672936.68392451
608,42668189.91287229
610,42581702.24652292
613,41790329.64550933
614,41750262.455552354
616,42399634.97770341
619,43015709.0316412
620,42792669.543319255
622,42214477.92774869
625,43036983.871007204
626,42230772.74033754
628,42560667.34501318
631,42840635.424657114
632,42748963.49724178
634,42346882.847262114
637,42468599.985151365
638,39390762.2507896
640,40235474.75274614
643,40270864.9161321
644,40472220.9967241
646,40663400.8809144
649,40513504.83956521
650,40306192.298287995
652,40754876.51480788
655,39727506.754642755
656,40272172.3899674
658,39928010.35370991
661,39628065.183653824
662,40071241.80607863
664,39803646.64504011
667,40195358.70630257
668,39930856.85751096
670,43858927.656871974
673,42997852.577888414
674,43468583.12187087
676,43813855.9301855
679,43763545.54261435
680,43516765.77230099
682,43509554.60578003
685,42983909.86196349
686,43827169.008071266
688,42933658.57750215
691,43601165.66854521
692,43763493.60645999
694,43639657.79793467
697,43803266.370955534
698,43469314.338694446
700,43455412.41540785
703,43121381.788895175
704,42686811.2500569
706,43163989.789339274
709,42986028.07674854
710,42409823.801476374
712,42325965.35422579
715,42257040.834793165
716,42618172.63788521
718,42446933.53401882
721,42820976.34085495
722,42608837.76924342
724,42378328.204421446
727,42484153.17268695
728,42677490.76005928
730,43210168.059847884
733,42847588.234939754
734,41439002.964582786
736,41568402.913194574
739,41464706.296150275
740,41865322.629341625
742,42469635.58301534
745,41468670.598500505
746,41059301.955639645
748,40774394.92493677
751,41380315.776994675
752,42624363.37719079
754,41211338.83425971
