,962362588.8186667
1,40606346.257725514
2,40528601.476746224
4,40339353.39332708
7,40698384.28343388
8,40887554.07859451
10,40751348.00978829
13,40289621.71096314
14,41535040.20387344
16,41289927.58027453
19,43705021.3124207
20,40564839.66219591
22,40817473.698583715
25,42078612.050748
26,42517050.41534262
28,42522194.76896535
31,42485937.08791957
32,42070897.84474916
34,42076860.75613291
37,42169205.54542849
38,42093775.39367514
40,41316362.961395144
43,41804002.66357464
44,42202188.761065714
46,43841504.91772564
49,44709208.43324052
50,46426803.39994782
52,44636663.37003811
55,44749211.43883819
56,44619576.159148216
58,44737870.761108816
61,44637764.46844415
62,44605453.62496
64,45054110.17041009
67,45820283.59421558
68,45167909.094043836
70,45612435.16780179
73,46222676.151122324
74,45186334.34300059
76,45030924.52962725
79,45244510.86300685
80,46005388.16589513
82,45389499.36431802
85,46431848.63882123
86,46091113.75353935
88,46038860.76341035
91,44514326.303997435
92,45097184.109811775
94,42122356.14264196
97,41259370.43209055
98,41380191.42043179
100,41128436.95367829
103,42342635.880734846
104,41905602.834049545
106,41373756.93807394
109,42296550.305216394
110,46014479.32118764
112,45036622.89400278
115,44824832.182865344
116,44799073.03199654
118,44920544.791247986
121,44949321.57691844
122,46146178.05976417
124,45752457.3073879
127,43337394.01243613
128,43609947.50422838
130,43170137.243820734
133,41867461.04142165
134,42076912.568969585
136,42655235.33904065
139,42764932.10172696
140,43012666.78973852
142,41880093.42616221
145,41723268.663320065
146,42969067.89548072
148,41246949.84772653
151,41345560.57790852
152,42237536.44478561
154,41501891.91078213
157,41688366.55040179
158,41684771.566789694
160,42151865.51274317
163,42489528.3198192
164,41795279.130237736
166,42945980.53726476
169,41428544.36532732
170,41823295.758894145
172,43158450.193258144
175,46704983.15279493
176,46828212.80540103
178,46338422.67157579
181,46119374.31561054
182,45850031.82549016
184,45138140.85919989
187,46294094.25838826
188,43494176.58530422
190,41037767.60330455
193,40967483.323821716
194,40240332.5129556
196,41525538.57619078
199,40739603.0964277
200,41301560.24962715
202,41553024.82837585
205,41643951.67996925
206,45345305.3716509
208,45420833.13635685
211,45426113.65406756
212,44157245.82106722
214,45284151.30941714
217,44742204.80806989
218,45754711.42976896
220,44390832.5093795
223,43007462.79518326
224,43309459.86191576
226,43197058.02951268
229,43273030.39961109
230,42943398.66428502
232,43841286.725361764
235,43396899.927961126
236,43913708.88245605
238,39388026.26845312
241,38553095.98085263
242,37909046.408389516
244,39728804.45199457
247,39408616.83125177
248,38888199.497557566
250,38449526.44112384
253,39457392.858602695
254,43014804.05373633
256,42383232.540488094
259,43909160.09000118
260,43852938.50094435
262,43770419.57358424
265,44677685.57341511
266,43518783.0888928
268,43814003.40328396
271,43907126.08063049
272,43726827.37610115
274,44420184.35750446
277,44195314.38841741
278,43712512.79455959
280,44001445.671597905
283,43937148.86934214
284,44545019.231904864
286,41305523.04912886
289,41623822.16160787
290,41471218.741036385
292,42473991.42333505
295,39567545.03757207
296,40300870.93665393
298,40588285.5316015
301,41599415.6423703
302,39265704.08458094
304,40010046.35530696
307,39427340.88726415
308,39418324.04435018
310,39925280.134003654
313,40092632.63514608
314,40098631.21447777
316,40331792.02982537
319,45699212.389166944
320,45169804.88629545
322,43778161.33700056
325,44292969.705405876
326,43664385.60183665
328,43905472.36996642
331,43999583.49512412
332,43564112.83543719
334,39257259.505431935
337,40539564.3823982
338,40568452.611805946
340,38072397.80007341
343,39913944.97203486
344,40325323.94844182
346,40837366.01252994
349,39785311.226870224
350,47362961.685097784
352,47435180.83822043
355,47180981.38026285
356,47115389.94927434
358,46562244.17949742
361,46777537.894943036
362,46612128.607029766
364,47508573.99279736
367,47600705.18078928
368,47873687.978826016
370,47374410.75030779
373,47601178.820134155
374,46462726.92099164
376,45822994.09481444
379,47316197.14163057
380,47820192.98709932
382,44050538.09545785
385,44368460.58340173
386,43546742.57133379
388,43030420.92300911
391,43027679.21048375
392,43191556.06252576
394,43999303.64838212
397,43788839.64251004
398,42014571.83223996
400,42405845.54662349
403,42209175.71775271
404,41284257.22132615
406,41940179.873205744
409,41039919.03045844
410,42021071.47047402
412,42768508.0417028
415,42121602.38478229
416,41858682.31821473
418,42139960.08236593
421,40846914.34411331
422,42491874.22149197
424,41084775.39816669
427,42350122.65051752
428,41782464.03763943
430,45812668.83849747
433,46015116.8131269
434,44935361.863162264
436,46760769.687051885
439,45605303.80473926
440,44492086.333468355
442,46248013.56264674
445,45964874.13349002
446,46128328.328521065
448,46170260.29698559
451,46482643.63722001
452,45043393.54307802
454,45761001.05516383
457,45075955.55758437
458,45866357.85682816
460,45441837.70748314
463,43737137.04222598
464,43937093.36010401
466,43561222.50181287
469,43883296.75633118
470,44967688.4701541
472,44198499.610245466
475,44462309.986019604
476,44133084.29640392
478,41917922.86788311
481,41449607.30898468
482,41616322.95539288
484,41082038.54690506
487,41790884.70705706
488,40959887.4580937
490,41358658.468034245
493,41226559.708619535
494,41585074.15497328
496,42426880.64234586
499,42852297.591135465
500,43285061.47478334
502,42227328.65614427
505,42360237.158003226
506,42399995.70979437
508,42232462.09640134
511,44593406.91877869
512,43885084.67101918
514,44764531.49821728
517,44913727.40273989
518,44551158.272516325
520,46046549.93433943
523,43777440.3270047
524,44930878.79473078
526,46379254.958092645
529,47041383.63047211
530,45750951.5787902
532,47702794.52662911
535,46572311.90294937
536,46435200.74946019
538,46208886.879441865
541,46226991.66589253
542,40811487.6517965
544,41535262.0503186
547,40931785.09553897
548,42056057.00580357
550,41519558.051475555
553,41153437.83537643
554,41426250.86411439
556,40822984.142487586
559,44096514.41393116
560,44086691.45434838
562,42367107.9428693
565,43588946.07325438
566,44172019.877797976
568,43673038.403238006
571,45181079.34790547
572,43330522.1930408
574,41033529.52766606
577,41836499.101844
578,41795121.81942758
580,41294437.1258605
583,41824519.6212785
584,41140789.77136755
586,41319132.04600862
589,42363533.58866031
590,42694825.713275224
592,42980261.175802805
595,43164841.3710315
596,43096828.46540584
598,43956530.62022448
601,43882151.08930196
602,43882595.16076515
604,43822657.9174741
607,42376984.76182463
608,42578890.29103359
610,42245297.52803944
613,42132772.954917364
614,41473434.31206508
616,41573958.077726275
619,42702961.901458934
620,43148311.89641273
622,43673474.422816046
625,43460462.50439128
626,43890313.25533238
628,44915583.72065818
631,44351993.37207406
632,44212384.72689337
634,44303581.486766435
637,44202199.42073232
638,43165392.712704994
640,42454771.780939914
643,41344462.86615932
644,42789633.25799498
646,42027007.49648058
649,42469984.14263841
650,41959097.51269302
652,42703310.82312181
655,43569071.59606416
656,43806127.35009723
